Quary,Answer
徐州市的支持政策文件有哪些？,星级上云智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。专精特新“小巨人”。专精特新软件企业入库。星级上云。5G全连接工厂。徐州市中小企业公共服务示范平台认定。
星级上云的项目,徐州市的支持政策发布时间是2019年6月6日。其政策名称是《市政府关于加快发展工业互联网推进企业上云的实施意见》，其支持政策的具体内容是1.对在省星级上云企业评定中获批的五星级、四星级、三星级上云企业，分别给予15万元、10万元、5万元的一次性奖励；对购买公有云服务的企业按省补助标准进行1:1配套补助。。
智能工厂、智能车间的项目,徐州市的支持政策发布时间是2021年9月3日。其政策名称是2021年度市级技术改造专项资金申报指南，其支持政策的具体内容是五县（市）、铜山区（高新区）、贾汪区、经开区、鼓楼区、云龙区、泉山区、港务区获评2021年度省级智能制造示范车间的企业，每个省级示范智能车间奖励15万元。。
两化（深度）融合类示范试点的项目,徐州市的支持政策发布时间是2022年2月21日。其政策名称是《关于组织开展2022年江苏省两化融合管理体系贯标示范企业培育遴选工作的通知》发布时间，其支持政策的具体内容是一、申报流程1.各申报企业须在两化融合服务平台（www.cspiii.com/pg）上完成企业两化融合水平的自评估，评估结果作为整个示范培育的必要条件。2.各地主管部门将推荐汇总表和企业的申报材料盖章纸质版（一式两份）于2022年3月28日前报送至市工信局，相应电子文档（可无公章）发送至指定邮箱。二、注意事项1、申报对象为在徐州市内注册的企业，不限行业。2021年度省两化融合贯标A级、AA级、AAA级试点企业不再列入同级别示范企业培育对象。2、本次示范培育分A级、AA级、AAA级三个级别，企业可根据两化融合建设情况直接申报相应级别培育。3、2021年度通过两化融合管理体系贯标A级、AA级、AAA级认定的企业，不得申报同级别示范企业培育，但可申报更高级别示范企业培育对象。4、省工信厅将于5月份公布2022年度贯标示范培育企业名单，并推进咨询服务机构与培育企业结对子。2022年11月30日前通过两化融合管理体系AAA级贯标评定审核的培育对象，可申报本年度省两化融合管理体系贯标示范企业，具体时间另行通知。。
工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,徐州市的支持政策发布时间是2022年2月24日。其政策名称是《关于组织开展2022年徐州市企业技术中心认定工作的通知》，其支持政策的具体内容是一、申报领域及条件申报领域为工业类。优先支持我市工程机械与智能装备、新能源、集成电路与ICT、生物医药与大健康、新材料、节能环保、食品及农副产品加工、钢铁冶金、绿色化工、建筑建材、数字经济、汽车等主导产业，以及5G、工业互联网、大数据、物联网、人工智能、区块链等新兴行业。申报企业要求诚信经营，近两年内（指申请当年向前推算两年）无涉税违法、走私、重大产品质量事故或重大安全责任事故等严重失信记录等行为。申报企业必须具备以下基本条件：1.具备较强的技术创新实力和较好的经济效益，在全市同行业中具有竞争优势，企业年主营收入总额在2000万元以上，高新技术企业年主营收入总额在1000万元以上，或企业主营业务收入未达以上标准，企业研发与实验发展经费支出占主营业务收入的比重高于10%。2.企业领导重视技术创新和技术中心工作，具有较强市场开拓和技术创新意识，企业重视技术研发，为技术中心建设创造良好的技术创新条件。3.企业有一定的技术创新投入，年研究与实验经费支出额不低于200万元。4.企业具有较完备的研发、试验条件，技术开发仪器设备原值不低于200万元。5.企业拥有技术水平高、实践经验丰富的技术带头人，专职研究与试验发展人员数不低于15人。二、申报程序（一）按照《管理方法》要求，组织申请企业编写市级企业技术中心申请材料，并对其真实性进行审核（申请材料格式要求见附件1）；（二）按照市级企业技术中心评价方法（见附件2），对申请企业技术中心进行初评；（三）采取公平公正公开的适当形式，择优推荐符合重点领域、基本条件、《管理办法》规定和初评得分高于60分（包含60分）的企业技术中心。。
专精特新“小巨人”的项目,徐州市的支持政策发布时间是2022年。其政策名称是《徐州市“专精特新”中小企业培育攻坚三年行动方案（2022-2024年）》，其支持政策的具体内容是国家级60万元，省级40万元，市级20万元。。
专精特新软件企业入库的项目,徐州市的支持政策发布时间是2022年7月6日。其政策名称是关于开展2022年江苏省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知，其支持政策的具体内容是一、推荐依据。参照最新修订的《江苏省规划布局内重点软件企业评估规范》（T/JSIA0004-2022）、《江苏省专精特新软件企业评估规范》（T/JSIA0005-2022）。二、入库有效期。入库企业有效期为2年（2021年入库企业无需重复申报）。企业（含已入库企业及新申报企业）须定期通过江苏省软件行业政企服务平台（http://jsrj.zqtong.com）报送主要经营数据，接受动态监测。三、推荐办法。按照企业自愿申报原则，由市工信局组织专家参照评估规范的评价标准进行评审，达到标准的给予推荐。同一企业只能选择一个类别申报。四、时间要求。请各单位于2022年8月10日前向市工信局上报推荐函、推荐名单、企业纸质申报材料（一式两份），并将电子材料发送至指定邮箱。五、责任分工。市工业和信息化局信息产业处全面负责项目申报有关工作，组织专家进行评审，并择优向省工信厅推荐；各县（市）区工信局、经开区经发局、高新区经发局、港务区经发部应做好政策宣贯工作，积极动员辖区内企业申报项目，对拟申报企业认真审核后出具推荐函以及《2022年江苏省规划布局内重点软件企业培育推荐名单》或《2022年江苏省专精特新软件企业培育推荐名单》并加盖公章；企业按照评估规范的要求提交申报材料；市软件行业协会应配合各地区工信主管部门开展宣传动员，协助市工信局做好形式审查等工作。。
星级上云的项目,徐州市的支持政策发布时间是2022年10月9日。其政策名称是关于组织开展2022年度第二批星级上云企业创建申报工作的通知，其支持政策的具体内容是（一）基本条件。企业在徐州市内注册，具有独立的法人资格，并具备健全的财务管理机构和制度，信用良好、无违法记录。（二）上云形式和内容。三星级上云企业：应通过采购公有云服务（工业互联网平台）的形式上云，应用基础云服务及工业APP，将基础、设计、生产、物流、销售、服务等业务和数据向云端迁移，实现降本提质增效。四星级和五星级上云企业：应通过采购公有云服务（工业互联网平台）、自建私有云或以混合云形式上云。其中，四星级上云企业应通过高能耗设备、通用动力设备、新能源设备、智能装备等工业设备上云，结合边缘侧对数据处理和分析，实现设备管理、数据监控、决策优化等；五星级上云企业应基于基础云服务和设备上云，进一步应用云计算、大数据、物联网、人工智能、区块链等新一代信息技术，实现市场交易分析交易和预测、产品／设备远程监控与运维、产品质量管控及工艺优化等基于“数据＋模型”的创新应用。（三）申报要求。企业根据自身上云建设应用实际情况，可且只可申报三星级、四星级、五星级中任意一类星级上云企业。其中：未被评定为星级上云企业的可申报三星级、四星级上云企业中的任意一类星级上云企业；已评定为三星级上云企业的，可再次申报四星级上云企业；申报五星级上云企业须已评定为四星级上云企业；已经评定为星级上云企业的不得重复申报同一等次及以下星级上云企业。申报企业所填报的各项云服务均已连续使用不少于3个月且申报时仍在使用（上云时间计算截止到2022年9月30日）；上云投入按2021年8月1日至2022年9月30日期间实际付款金额计算。。
5G全连接工厂的项目,徐州市的支持政策发布时间是2023年3月2日。其政策名称是关于转发省工信厅《关于加快推进5G全连接工厂建设的通知》的通知，其支持政策的具体内容是（一）强化组织、明确目标。至2023年底，各区域新签约5G融合应用项目数量不少于10个，开展5G全连接工厂建设企业数量不少于2个，经开区、铜山区、高新区新增省级5G全连接工厂数量各1个。（二）摸清底数、树立标杆。做好本地情况摸底，深度挖掘有条件、有意向开展5G全连接工厂建设的企业，结合本地产业结构情况，重点培育行业龙头企业、优势产业链链主企业开展5G全连接工厂建设，快速形成示范引领作用。（三）政策支持、宣传引导。充分发挥财政资金引导作用，鼓励各县(市)区对已建成的5G应用项目给予支持，本年度组织5G融合应用专项供需对接会等专题活动不少于1场，营造5G融合应用快速发展的良好氛围。（于3月10日前将2023年度5G全连接工厂项目清单电子版和盖章扫描件反馈至信息化发展处）。
徐州市中小企业公共服务示范平台认定的项目,徐州市的支持政策发布时间是2023年3月29日。其政策名称是关于开展2023年度徐州市中小企业公共服务示范平台认定的通知，其支持政策的具体内容是一、申报和推荐条件市级示范平台认定根据平台在建设水平、服务能力、服务绩效等方面情况进行综合评定，分一星、二星2个等级。原则上遵循逐级晋升原则，符合条件的可跨星申报。申报单位应根据自身实际情况合理选择申报相应星级。1、申报单位必须是符合《徐州市中小企业公共服务示范平台认定管理办法》规定，为中小企业提供信息、技术、创业、培训、融资等服务的独立法人。2、获得省小型微型企业创业创新示范基地认定且非市级示范平台的单位，原则上不再申报市级示范平台认定，今年申报且被认定为市级示范平台的单位原则上不再申报市级示范基地认定。（建议：示范平台适合具有开放性和资源共享特征、为全社会企业提供公共服务的单位申报；示范基地适合为中小微企业提供生产经营场所、主要围绕上述场所内引进企业提供公共服务的单位申报。）二、申报程序符合条件的单位可自愿申请，经县（市）区中小企业主管部门审核后向市工信局推荐。市属单位经主管单位在《市中小企业公共服务示范平台推荐表》审核盖章后，行文向市工信局直接申报。市工信局根据申报情况组织专家评审和实地抽查，按照择优原则确定市级示范平台。市级示范平台实施动态管理，有效期三年。不在有效期内的市级示范平台可再次申报。。
