Quary,Answer
"专精特新项目中,淮安市的支持政策的名称是",《关于印发淮安市专精特新企业培育三年行动计划（2023—2025年）的通知》
"专精特新项目中,淮安市的支持政策发布的时间是",2023年5月19日
"星级上云项目中,淮安市的支持政策的名称是",《关于推动制造业高质量发展的实施意见》
"星级上云项目中,淮安市的支持政策发布的时间是",2022年2月10日
"星级上云项目中,淮安市的支持政策的奖补情况是",对被认定为省四星 、五星级上云的企业，分别奖励 １０万元、２０万元。
"两化融合管理体系 （升级版）贯标项目中,淮安市的支持政策的奖补情况是",对通过两 化融合管理体系 （升级版）贯标 ＡＡ级的企业奖励 １５万元， ＡＡＡ级及以上的企业奖励 ２０万元。
"工业互联网标杆工厂、平台项目中,淮安市的支持政策的奖补情况是",对被认定为市级、省级工业互联网标杆工厂的企业，奖励 １０万元、５０万元；对被认定为省 级、国家级工业互联网平台的企业，分别奖励 ５０万元、１００万 元。
"绿色标杆企业、 
省级、国家级绿色工厂项目中,淮安市的支持政策的奖补情况是",对新获批市级绿色标杆企业、 省级、国家级绿色工厂的，分别给予 ２０万、５０万元、１００万元 奖励。
"示范智能车间、示范智能工厂项目中,淮安市的支持政策的奖补情况是",对获批省级示范智能车间、省级示范智能工厂的，分别给予 ５０万元、２００万元奖励。
"星级上云项目中,淮安市-清江浦区的支持政策的名称是",2019年度清江浦区工业和信息产业发展资金项目
"星级上云项目中,淮安市-清江浦区的支持政策发布的时间是",2020年8月31日
"星级上云项目中,淮安市-清江浦区的支持政策的申报方式是",线下申报主体向项目所在地园区、镇（街道）提出项目申请，按要求提供项目申报材料。项目所在地园区、镇（街道）根据项目具体申报要求和标准，对项目申报材料进行初审后推荐上报区工信局、区财政局。项目申报受理截止时间为2020年9月10日
"星级上云项目中,淮安市-清江浦区的支持政策的奖补情况是",1.被评定为省五星级、省四星级、省三星级“上云企业”的企业，一次性分别奖励20万元、10万元、2万元。
"两化（深度）融合类示范试点项目中,淮安市的支持政策的奖补情况是",3.通过国家两化融合管理体系贯标的企业，一次性奖励20万元。2.被评定为国家级、省级两化融合或工业互联网类的示范、试点企业，一次性分别奖励30万元、10万元。
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）项目中,淮安市的支持政策的奖补情况是",4.对建成省级工业互联网标杆工厂的，一次性奖励30万元。
"智能工厂、智能车间项目中,淮安市-金湖县的支持政策的名称是",工信渠道
"智能工厂、智能车间项目中,淮安市-金湖县的支持政策发布的时间是",——
"智能工厂、智能车间项目中,淮安市-金湖县的支持政策的奖补情况是",对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。
