Quary,Answer
工业设备网络化的项目,网络的支持政策发布时间是2021年。其政策名称是1、工业和信息化部办公厅关于开展2021年度国家新型工业化产业示范基地申报工作的通知国家新型工业化产业示范基地申报条件.pdf，其具体内容是1、支持工业企业对工业现场“哑设备”进行网络互联能力改造，支撑多元工业数据采集。2、提升异构工业网络互通能力，推动工业设备跨协议互通。，其目标是支持地方和龙头企业建设10个工业互联网园区网络，开展面向龙头企业和中小企业的网络互联试点示范。。
“5G+工业互联网”的项目,"网络的支持政策发布时间是2020年、2021年。其政策名称是1、两部门关于组织开展5G+医疗健康应用试点项目申报工作的通知2、“5G+工业互联网”十个典型应用场景和五个重点行业实践3、“5G+工业互联网”512工程推进方案.docx，其具体内容是1、支持工业企业建设5G全连接工厂，推动5G应用从外围辅助环节向核心生产环节渗透，加快典型场景推广。2、探索5G专网建设及运营模式，规划5G工业互联网专用频率，开展工业5G专网试点。3、建设公共服务平台，提供5G网络化改造、应用孵化、测试验证等服务。，其目标是到2023年，建成8个“5G+工业互联网”公共服务平台。。江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是（1）支持条件①项目实施区域内5G网络全面覆盖，搭建边缘计算系统（MEC），应用设备全部联网，其中，基于5G网络连接的设备无线联网率（5G方式联网设备/所有无线方式联网设备）不低于50%。②将5G技术集成应用于生产各环节中，应用工信部发布的场景数量不少于8个，应用标识解析开展数据连接，推动数据/信息的查找和追溯。③项目备案（核准）、环评、能评等手续完备（无需相关手续的须由项目推荐单位作出说明）。④项目在2021年1月1日（含）至2022年6月30日（含）期间完工，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。⑤项目总投入不低于2000万元。项目总投入不含税额，包括利用5G技术完成智能化改造的设备、信息化硬件（工具、器具），以及与项目相关的工业软件、云资源及网络费用、调试安装费用、咨询、设计、检测、评价等投入。其中，软件、系统集成、公私有云等投入不低于300万元。（2）申报主体符合条件的规模以上工业企业（3）支持数量不超过10个南京市-高淳区的支持政策发布时间是2023年10月8日。其政策名称是关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次，其支持政策的具体内容是7.被列为省“5G+工业互联网”应用示范的项目，给予30万元奖励。，其支持政策的奖补情况是2022年2月28日-2022年4月2日线上：在江苏省工业互联网示范企业公共服务平台（www.dxplat.com）填报申报信息，并严格按照星级上云企业申报要求如实在平台上传项目申报电子版材料（附件2、3、4）。苏州市的支持政策发布时间是同资金申报项目。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的申报时间和类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府(suzhou.gov.cn)其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是加快“5G+工业互联网”发展：重点推动5G在垂直行业的先导应用；对市级垂直行业试点示范项目给予最高100万元奖励；苏州市-常熟市的支持政策发布时间是2021年2月4日。其政策名称是《关于推进制造业智能化改造和数字化转型的若干措施》，其支持政策的申报时间和类别是2020年度提升存量企业竞争力若干政策项目申报2020年度提升存量企业竞争力若干政策项目申报指南-常熟市人民政府(changshu.gov.cn)其支持政策规定的申报方式是线下纸质材料，2021.4.8-2021.4月底其支持政策的具体内容是4.对获评苏州市级垂直行业试点示范项目、优秀案例，给予最高50万元、20万元的奖励。南通市-经济开发区的支持政策发布时间是2022年5月13日。其政策名称是《南通开发区关于进一步促进企业高质量发展的若干政策意见》，其支持政策的具体内容是对当年获评国家级、省级、市级""5G+工业互联网＂典型应用场景优秀案例的企业，分别一次性奖励20万元、5万元、3万元奖励。。南通市-海安市的支持政策发布时间是2022年10月29日。其政策名称是《市政府关于加快“5G+工业互联网”数字赋能的若干政策意见》（海政发〔2022〕14号），其支持政策的具体内容是推动5G应用从外围辅助环节向核心生产环节渗透，利用数字孪生、人工智能、AR/VR等新技术，实现生产系统全要素数字化、网络化和智能化。企业成立时间不低于2年，项目实施期在最近2年内；实现场景内5G网络全覆盖，5G边缘云不少于1个，构建工业互联网+企业私有云+边缘云+功能云融合整体网络架构，实现云、网、边、端、平台一体化应用；部署5G边缘云上的工业控制系统，围绕企业“研发-生产-供应链-销售-服务”等业务，开展“5G+工业互联网”示范；部署满足业务隔离、保障需求、业务可靠性和安全要求的5G端到端组网方案；申报前2年，在生产设备数字化改造费用、信息化设备、软件、系统集成、网络通信、云租赁费用、咨询费用等方面的投资总额不低于200万元。实现5G覆盖的，采取事后补助方式，奖励覆盖合同金额的5%，5G应用运营后奖励项目已投入金额的15%，最高不超过100万元。。连云港市的支持政策发布时间是2022年2月28日。其政策名称是《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年），其支持政策的具体内容是对入选国家、省级、市级示范应用案例的试点示范项目分别给予最高50万元、30万元、10万元奖励。支持企业建设5G全连接工厂，对被认定为5G全连接工厂的企业给予最高100万元奖励。"
跨行业跨领域综合型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是打造具有国际影响力的工业互联网平台，深化工业资源要素集聚，加速生产方式和产业形态创新变革。，其目标是打造3～5家有国际影响力的综合型工业互联网平台。
重点行业和区域的特色型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是1、聚焦数字基础好、带动效应强的重点行业，打造行业特色工业互联网平台，推动行业知识经验在平台沉淀集聚。2、面向制造资源集聚程度高、产业转型需求迫切的区域，打造区域特色工业互联网平台，推动平台在“块状经济”产业集聚区落地。，其目标是70个行业区域特色平台。
特定技术领域的专业型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是围绕特定工业场景和前沿信息技术，建设技术专业型工业互联网平台，推动前沿技术与工业机理模型融合创新，支撑构建数据驱动、软件定义、平台支撑、服务增值、智能主导的新型制造体系。，其目标是70个行业区域特色平台。
工业设备和业务系统上云上平台的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是1、培育设备上云公共服务平台，推动行业龙头企业核心业务系统云化改造，带动产业链上下游中小企业业务系统云端迁移。2、鼓励地方政府通过创新券、服务券等方式降低上云门槛和成本，创新“挖掘机指数”“空压机指数”等新型经济运行指标。，其目标是面向发展基础良好的特定区域，支持建设20家区域一体化平台，加速区域产业资源共享和设备上云。
平台应用服务的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是开发和推广平台化、组件化的工业互联网行业系统解决方案，培育解决方案服务商，建立平台解决方案资源池和分类目录，开展服务商能力评价。，其目标是打造一批“平台+产品”“平台+模式”“平台+行业/区域”创新解决方案。
工业互联网公共服务平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号，其具体内容是1、提供工业互联网产业发展、供应商能力分级、企业评估等综合服务2、汇集供应商资源与企业需求，促进精准对接。，其目标是打造一批“平台+产品”“平台+模式”“平台+行业/区域”创新解决方案。南通市-海安市的支持政策发布时间是2022年10月29日。其政策名称是《市政府关于加快“5G+工业互联网”数字赋能的若干政策意见》（海政发〔2022〕14号），其支持政策的具体内容是项目已建成且建设期不超过2年，平台具有明确的发展规划、功能定位和管理机制，拥有相应的服务设施、专业技术和管理人才队伍；主要面向我市工业互联网领域的企业提供服务，具有公共性、开放性和资源共享性；申报主体财务状况良好，项目总投资不低于100万元。按经审计核定的项目投入，平台建设成功且投入运营的，采取事后补助方式，奖励项目已投入金额的10%；为我市除平台企业外其他20家以上企业提供服务的，奖励项目已投入金额的10%，合计最高不超过200万元。。无锡市的支持政策发布时间是2022年3月30日。其政策名称是《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》，其支持政策的具体内容是10.获得工信部工业互联网平台试点示范、省级重点工业互联网平台的企业给予最高100万元的一次性奖励。11.完成与国家顶级节点对接的二级节点的企业类建设单位择优给予最高200万元的一次性奖励。。无锡市-新吴区的支持政策发布时间是2021年12月31日。其政策名称是关于无锡高新区深入推进数字化转型和智能化变革的政策意见，其支持政策的具体内容是4.对服务企业数不少于50家、连接不少于5000台特定行业工业设备（离散行业)或不少于10000个特定行业工艺流程数据采集点(流程行业)、提供不少于20个特定行业工业APP的平台，经第三方测评后给予最高不超过200万元奖励。对列入省级工业互联网发展示范企业(平台类)，按照双跨类、行业级/区域级和供应链类分别一次性给予100万元、50万元和30万元的奖励，对列入国家级工业互联网相关领域试点示范的，一次性给予200万元的奖励。5.支持建设工业互联网标识解析二级节点项目，对完成与国家顶级节点对接的二级节点建设单位，一次性给予300万元的奖励;对年度标识解析量首次达3000万次、1亿次以上的二级节点主体单位，分别一次性给予10万元、25万元的奖励。对在标识解析领域共性标准、关键技术等取得突破的项目，按照不超过研发投资额10%的比例给予研发奖励，单个项目一次性给予奖励金额最高100万元。。仪征市的支持政策发布时间是2022年5月24日。其政策名称是《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知，其支持政策的具体内容是省级及以上工业互联网平台投入不低于1000万元的企业，按照不高于年平台投入的12%给予补助，最高500万元。。江都区的支持政策发布时间是2022年4月13日。其政策名称是关于印发江都区制造业智能化改造和数字化转型实施意见的通知，其支持政策的具体内容是为工业企业提供数字化服务，应具备工业设备管理、数据资源管理、应用开发服务、工业应用服务、用户与开发者管理等基础能力。平台企业申报前2年（自然年）在信息化设备、软件、网络、系统集成等方面的投资总额应不低于2000万元且获得省级及以上相关部门工业互联网平台的认定，按照投资额的5%进行奖励；与平台签订合同的付费工业企业数量不少于100家，其中江都工业企业数量不少于50家，则再给予投资额5%的奖励。奖励工业互联网平台企业不超过200万元。。
平台技术供给质量的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是1、加强平台设备接入、知识沉淀、应用开发等支持能力。2、突破研发、生产、管理等基础工业软件，加速已有工业软件云化迁移，形成覆盖工业全流程的微服务资源池。3、深化“平台+5G”“平台+人工智能”“平台+区块链”等技术融合应用能力。，其目标是到2023年，工业企业及设备上云数量比2020年翻一番。
“工业互联网+安全生产”的项目,安全的支持政策发布时间是2021年。其政策名称是1、《“工业互联网+安全生产”行动计划（2021-2023年）》2、工业互联网企业网络安全分类分级指南（试行）.pdf3、工业和信息化部办公厅关于开展工业互联网企业网络安全分类分级管理试点工作的通知4、GB／T36324-2018信息安全技术工业控制系统信息安全分级规范.pdf，其具体内容是1、针对原材料、危险化学品、矿山、民爆、烟花爆竹等重点行业领域，构建基于工业互联网的安全生产感知、监测、预警、处置及评估体系2、建立风险特征库、失效数据库、安全生产评估模型和工具集，提升工业企业安全生产水平，其目标是到2023年，工业企业及设备上云数量比2020年翻一番。
