Quary,Answer
淮安市的支持政策文件有哪些？,专精特新星级上云。两化融合管理体系（升级版）贯标。工业互联网标杆工厂、平台。绿色标杆企业、省级、国家级绿色工厂。示范智能车间、示范智能工厂。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。智能工厂、智能车间。星级上云。两化融合贯标。市级智能车间。市级智能工厂。市级标杆工厂。
专精特新的项目。,淮安市的支持政策发布时间是2023年5月19日。其政策名称是《关于印发淮安市专精特新企业培育三年行动计划（2023—2025年）的通知》，其支持政策的申报方式是申报方式，其支持政策的奖补情况是奖补情况。
星级上云的项目。,淮安市的支持政策发布时间是2022年2月10日。其政策名称是《关于推动制造业高质量发展的实施意见》，其支持政策的奖补情况是对被认定为省四星、五星级上云的企业，分别奖励１０万元、２０万元。。
两化融合管理体系（升级版）贯标的项目。,淮安市的支持政策发布时间是2022年2月10日。其政策名称是《关于推动制造业高质量发展的实施意见》，其支持政策的奖补情况是对通过两化融合管理体系（升级版）贯标ＡＡ级的企业奖励１５万元，ＡＡＡ级及以上的企业奖励２０万元。。
工业互联网标杆工厂、平台的项目。,淮安市的支持政策发布时间是2022年2月10日。其政策名称是《关于推动制造业高质量发展的实施意见》，其支持政策的奖补情况是对被认定为市级、省级工业互联网标杆工厂的企业，奖励１０万元、５０万元；对被认定为省级、国家级工业互联网平台的企业，分别奖励５０万元、１００万元。。
绿色标杆企业、省级、国家级绿色工厂的项目。,淮安市的支持政策发布时间是2022年2月10日。其政策名称是《关于推动制造业高质量发展的实施意见》，其支持政策的奖补情况是对新获批市级绿色标杆企业、省级、国家级绿色工厂的，分别给予２０万、５０万元、１００万元奖励。。
示范智能车间、示范智能工厂的项目。,淮安市的支持政策发布时间是2022年2月10日。其政策名称是《关于推动制造业高质量发展的实施意见》，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予５０万元、２００万元奖励。。
星级上云的项目。,淮安市-清江浦区的支持政策发布时间是2020年8月31日。其政策名称是2019年度清江浦区工业和信息产业发展资金项目，其支持政策的申报方式是线下申报主体向项目所在地园区、镇（街道）提出项目申请，按要求提供项目申报材料。项目所在地园区、镇（街道）根据项目具体申报要求和标准，对项目申报材料进行初审后推荐上报区工信局、区财政局。项目申报受理截止时间为2020年9月10日，其支持政策的奖补情况是1.被评定为省五星级、省四星级、省三星级“上云企业”的企业，一次性分别奖励20万元、10万元、2万元。。
智能工厂、智能车间的项目。,淮安市-清江浦区的支持政策发布时间是2020年8月31日。其政策名称是2019年度清江浦区工业和信息产业发展资金项目，其支持政策的申报方式是线下申报主体向项目所在地园区、镇（街道）提出项目申请，按要求提供项目申报材料。项目所在地园区、镇（街道）根据项目具体申报要求和标准，对项目申报材料进行初审后推荐上报区工信局、区财政局。项目申报受理截止时间为2020年9月10日，其支持政策的奖补情况是1.被评定为省五星级、省四星级、省三星级“上云企业”的企业，一次性分别奖励20万元、10万元、2万元。。
两化（深度）融合类示范试点的项目。,淮安市-清江浦区的支持政策发布时间是2020年8月31日。其政策名称是2019年度清江浦区工业和信息产业发展资金项目，其支持政策的申报方式是线下申报主体向项目所在地园区、镇（街道）提出项目申请，按要求提供项目申报材料。项目所在地园区、镇（街道）根据项目具体申报要求和标准，对项目申报材料进行初审后推荐上报区工信局、区财政局。项目申报受理截止时间为2020年9月10日，其支持政策的奖补情况是3.通过国家两化融合管理体系贯标的企业，一次性奖励20万元。2.被评定为国家级、省级两化融合或工业互联网类的示范、试点企业，一次性分别奖励30万元、10万元。。
工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目。,淮安市-清江浦区的支持政策发布时间是2020年8月31日。其政策名称是2019年度清江浦区工业和信息产业发展资金项目，其支持政策的申报方式是线下申报主体向项目所在地园区、镇（街道）提出项目申请，按要求提供项目申报材料。项目所在地园区、镇（街道）根据项目具体申报要求和标准，对项目申报材料进行初审后推荐上报区工信局、区财政局。项目申报受理截止时间为2020年9月10日，其支持政策的奖补情况是4.对建成省级工业互联网标杆工厂的，一次性奖励30万元。。
智能工厂、智能车间的项目。,淮安市-金湖县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
星级上云的项目。,淮安市-淮阴县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
两化融合贯标的项目。,淮安市-淮阴县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
市级智能车间的项目。,淮安市-淮阴县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
市级智能工厂的项目。,淮安市-淮阴县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
市级标杆工厂的项目。,淮安市-淮阴县的支持政策发布时间是——。其政策名称是工信渠道，其支持政策的奖补情况是对获批省级示范智能车间、省级示范智能工厂的，分别给予200万元、400万元奖励。。
