Quary,Answer
宿迁市的名为星级上云的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为智能工厂、智能车间的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为两化（深度）融合类示范试点的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为专精特新小巨人、单项冠军的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为两化融合贯标的项目,政策包括：《宿迁市建设长三角先进制造业基地三年行动计划（2021－2023年）》。
宿迁市的名为智能制造示范工厂的项目,政策包括：1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号。
宿迁市的名为智能车间的项目,政策包括：1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号。
宿迁市的名为工业互联网标杆工厂的项目,政策包括：1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号。
宿迁市的名为5G+工业互联网融合应用项目的项目,政策包括：1、《关于2021年度支持苏北五市制造业智改数转资金项目遴选的通知》（苏工信综合〔2021〕609号）2、《关于2021年度省切块制造业智改数转资金项目申报的通知》宿工信发〔2022〕3号。
