Quary,Answer
苏州市的支持政策文件有哪些？,星级上云智能工厂、智能车间。“5G+工业互联网”。标识解析二级节点。市级示范智能车间。专精特新“小巨人”企业。2022先进制造业基地专项资金。市重点软件企业复评及2023年度入库。市“近零碳”工厂（第二批）入库培育。省级绿色工厂省级绿色工业园区。工业产品绿色设计示范企业。服务型制造示范。省级中小企业公共服务示范平台认定推荐。2023年苏州市级智能工厂申报。智能车间、智能工厂。两化融合。工业互联网。企业上云。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。服务型制造示范企业。专精特新小巨人、单项冠军。5G建设与应用。星级上云。智能工厂、智能车间、智能化改造。两化融合管理体系贯标示范企业。绿色工厂、绿色供应链管理示范企业。单项冠军、专精特新中小企业。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。小巨人企业（专精特新产品）。单项冠军。星级上云。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。专精特新、小巨人企业、单项冠军。绿色工厂、供应链管理企业。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网平台、APP，5G+工业互联网试点示范项目、典型应用场景优秀案例。国家级、省级制造业与互联网融合发展试点示范项目、国家级、省级制造业“双创”平台试点示范项目、国家级、省级工业互联网平台、国家级、省级工业互联网标杆工厂；。中小企业专精特新。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。5G+工业互联网。工业互联网APP、工业互联网平台。专精特新企业。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。绿色工厂、供应链管理企业。单项冠军、专精特新、小巨人。星级上云。智能工厂、智能车间。工业互联网平台、APP，5G+工业互联网试点示范项目、典型应用场景优秀案例。两化（深度）融合类示范试点。专精特新“小巨人”。智能车间。星级上云。专精特新“小巨人”企业。
星级上云的项目。,苏州市的支持政策发布时间是2021年9月1日。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的申报时间和类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府(suzhou.gov.cn)其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是鼓励中小企业上云用平台：对完成省级三星级、四星级、五星级的上云企业分别给予不高于1万、5万、10万的一次性补贴。
智能工厂、智能车间的项目。,苏州市的支持政策发布时间是省：2021年8月市：2021年3月。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的申报时间和类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府(suzhou.gov.cn)其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是突出典型示范项目：获评省级智能制造示范车间最高奖励50万元；获评市级智能制造示范工厂最高奖励100万元；获评市级示范智能车间最高奖励20万元。
“5G+工业互联网”的项目。,苏州市的支持政策发布时间是同资金申报项目。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的申报时间和类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府(suzhou.gov.cn)其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是加快“5G+工业互联网”发展：重点推动5G在垂直行业的先导应用；对市级垂直行业试点示范项目给予最高100万元奖励；
标识解析二级节点的项目。,苏州市的支持政策发布时间是同资金申报项目。其政策名称是《苏州市推进制造业智能化改造、数字化转型措施》，其支持政策的申报时间和类别是2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知-苏州市人民政府(suzhou.gov.cn)其支持政策规定的申报方式是线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）其支持政策的具体内容是加快工业互联网标识解析工作：对完成与国家顶级节点对接的二级节点建设单位，给予最高300万元的奖励；对实现年度新增标识注册量超过3000万、日均解析量超1000万次的二级节点运营单位，给予最高50万元的奖励。
市级示范智能车间的项目。,苏州市的支持政策发布时间是2022年6月7日。其政策名称是关于做好2022年市级示范智能车间申报工作的通知，其支持政策的申报时间和类别是http://gxj.suzhou.gov.cn/szeic/znzz/202206/de0477087dc9444e9d72992cef2b7c62.shtml其支持政策规定的申报方式是申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。其支持政策的具体内容是1、企业申报的示范智能车间已建成并正常投产使用，具有较好的经济效益。2、已获得3个及以上省、市级示范智能车间企业不再参与申报。一家企业本次不得同时申报2个及以上示范智能车间。3、智能设备台套（产线）和信息化软件等应用率超过70%，车间智能化装备及信息化软件累计投入不低于600万元。
专精特新“小巨人”企业的项目。,苏州市的支持政策发布时间是2022年11月14日。其政策名称是2022年度扬州市中小企业发展专项资金项目申报指南，其支持政策的申报时间和类别是http://www.yangzhou.gov.cn/yzszxxgk/gxj/202211/d78d73940e0547889c1f4d59cc5890cb.shtml其支持政策规定的申报方式是申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。其支持政策的具体内容是1.2021年新认定的国家级、省级专精特新“小巨人”企业。2.企业近三年主营业务收入平均增长3%以上。3.主导产品销售收入占主营业务收入比重50%以上，企业近三年研发投入占主营业务收入比重平均达3%以上。4.企业上年度用于创新升级、管理升级、安全升级的项目综合投入（包括关键技术研发、设备更新、购买专业化服务等）不低于300万元（不含税，须提供专项审计报告）。按不超过项目综合投入的10%予以补助，最高不超过50万元。
2022先进制造业基地专项资金的项目。,苏州市的支持政策发布时间是2022年9月5日。其政策名称是同去年，其支持政策的申报时间和类别是http://www.suzhou.gov.cn/szsrmzf/bmwj/202209/6395d90028d14a7f939d9d84bbb1eeb9.shtml关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是龙头骨干企业培育/产业链核心技术攻关/智能化改造和数字化转型/绿色化改造升级/服务平台建设，扶持标准详见pdf
市重点软件企业复评及2023年度入库的项目。,苏州市的支持政策发布时间是2023年3月1日。其政策名称是关于开展苏州市重点软件企业复评及2023年度入库工作的通知，其支持政策的申报时间和类别是http://www.suzhou.gov.cn/szsrmzf/bmwj/202209/6395d90028d14a7f939d9d84bbb1eeb9.shtml关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、基本要求（一）在苏州市依法注册设立，具有独立法人资格的企业，稳定经营满1年以上。（二）具备从事软件和信息服务业务的基础设备条件、人员团队和经营场地。 （三）符合以下条件之一： 1.主要从事软件和信息技术服务业务，主营业务年收入2000万元以上且软件业务收入比例不低于50%；2.开展嵌入式系统软件开发业务，嵌入式系统软件开发业务年收入2000万元以上且占企业主营业务收入比例不低于40%；3.主要从事基础软件、工业软件、信息安全、集成电路设计、工业互联网平台服务或数据服务，且软件业务（集成电路设计）年收入1000万元以上。二、工作流程1.已入库及新入库企业，需在3月31日前完成2022年度工信部软件和信息技术服务业统计年报工作。2.申报单位请于3月31日前填写完成申报书（附件1）并上报各县级市（区）主管部门。3.请各县级市（区）主管部门按通知要求，对申报材料认真审核，对2022年度入库企业（附件2）进行复评并出具复评报告，于4月6日前将申报材料（纸质材料、电子材料各一式一份）、入库企业汇总表（附件3）、复评报告（附件4）行文上报至我局。
市“近零碳”工厂（第二批）入库培育的项目。,苏州市的支持政策发布时间是2023年3月30日。其政策名称是2023年度苏州市“近零碳”工厂（第二批）入库培育工作开始，其支持政策的申报时间和类别是http://www.suzhou.gov.cn/szsrmzf/bmwj/202209/6395d90028d14a7f939d9d84bbb1eeb9.shtml关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知其支持政策规定的申报方式是线上+线下其支持政策的具体内容是一、培育主体    注册地为苏州市范围内，具有独立法人资格的工业企业。    二、入库条件    （一）企业依法设立，经营状况良好，有较强的行业影响力和市场竞争力。建立完善的质量管理体系、环境管理体系、职业健康安全管理体系、能源管理体系，各项管理制度健全。    （二）企业将低碳发展要求和绿色制造理念纳入发展战略，具备开展温室气体排放、产品生命周期碳足迹和环境影响分析评价的基础。    （三）企业符合绿色制造体系建设要求，拥有国家级或省级绿色工厂称号。    （四）符合国家和地方的法律法规及标准规范要求，近三年无以下情况：发生较大及以上生产安全和质量事故、Ⅲ级（较大）及以上突发环境污染事件，在国家、省、市级督察工作中发现存在严重问题，被列入工业节能监察整改名单且未完成整改等。三、有关要求（一）县级市（区）工信主管部门做好苏州市“近零碳”工厂入库和培育工作，选择管理层绿色意识强、降碳基础条件好的企业纳入培育计划，并加强服务指导，对照评价指标体系（附件1）对标找差，制定创建计划，针对性落实改进提升措施。（二）县级市（区）工信主管部门请于2023年4月14日前，将本地区2023年度苏州市“近零碳”工厂培育计划汇总表（附件2）报送市工信局节能与综合利用处。（三）县级市（区）工信主管部门须督促已获评企业制定落实绿色低碳发展工作年度目标及工作方案，推动企业持续降低碳排放，提升绿色制造水平。请各地区于2023年4月14日前将本地区相关企业的2022年度总结及2023年度计划（附件3）报送市工信局节能与综合利用处。 
