Quary,Answer
常州市的名为星级上云的项目,政策包括：市工信局关于做好2022年首批星级上云企业申报工作的通知(changzhou.gov.cn)。
常州市的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：关于组织申报2021年常州市工业互联网专项资金的通知。
常州市的名为智能工厂、的项目,政策包括：关于组织申报2021年工业高质量发展专项资金项目的通知。
常州市的名为省级“5G+工业互联网”融合应用的项目,政策包括：关于组织申报2021年工业高质量发展专项资金项目的通知。
常州市的名为两化（深度）融合类示范试点的项目,政策包括：关于组织申报2021年工业高质量发展专项资金项目的通知。
常州市的名为专精特新“小巨人”企业的项目,政策包括：市工信局关于组织申报2022年度常州市“专精特新”中小企业的通知(changzhou.gov.cn)。关于印发《关于推进高质量工业智造明星城建设的若干政策》的通知。
常州市的名为服务型制造示范企业的项目,政策包括：
常州市的名为专精特新中小企业的项目,政策包括：《关于组织申报2023年度常州市专精特新中小企业的通知》。《关于组织申报2022年度常州市中小微企业发展专项资金项目的通知》。
常州市的名为省规划布局内重点软件企业和专精特新软件企业培育入库的项目,政策包括：关于转发《江苏省工信厅关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知》的通知。
常州市的名为市智能制造示范区的项目,政策包括：关于组织申报2023年常州市智能制造示范区的通知。
常州市-溧阳市的名为星级上云的项目,政策包括：《关于“发展四大经济推动生态创新”三年行动计划的实施意见》《溧阳市“十四五”制造业高质量发展规划》公示。
常州市-溧阳市的名为两化融合的项目,政策包括：《关于“发展四大经济推动生态创新”三年行动计划的实施意见》《溧阳市“十四五”制造业高质量发展规划》公示。
常州市-溧阳市的名为（工厂）的项目,政策包括：《关于“发展四大经济推动生态创新”三年行动计划的实施意见》《溧阳市“十四五”制造业高质量发展规划》公示。
常州市-武进区的名为智能工厂、的项目,政策包括：关于开展2022年首批省星级上云企业申报工作的通知。
常州市-武进区的名为专精特新创新型中小企业的项目,政策包括：关于组织开展2022年度省级专精特新中小企业申报认定和2019年度省级专精特新企业复核的通知。
常州市—天宁区的名为智能工厂、的项目,政策包括：《天宁区关于推动产业强区的若干政策》。《天宁区关于推动产业强区的若干政策》。
常州市—天宁区的名为专精特新小巨人企业的项目,政策包括：《天宁区关于推动产业强区的若干政策》。
常州市—天宁区的名为服务型制造示范企业（平台）的项目,政策包括：《天宁区关于推动产业强区的若干政策》。
常州市—天宁区的名为省级工业互联网示范企业的项目,政策包括：《天宁区关于推动产业强区的若干政策》。
常州市—天宁区的名为市级工业互联网标杆工厂的项目,政策包括：《天宁区关于推动产业强区的若干政策》。
"常州市—天宁区的名为""5G+工业互联网“应用项目的项目",政策包括：《天宁区关于推动产业强区的若干政策》。
常州市—天宁区的名为两化融合管理体系贯标的项目,政策包括：《天宁区关于推动产业强区的若干政策》。
常州市金坛区的名为星级上云的项目,政策包括：《天宁区关于推动产业强区的若干政策》。《天宁区关于推动产业强区的若干政策》。
