Quary,Answer
扬州市的名为《关于加快推进制造业智能化改造和数字化转型的实施意见》的政策,支持政策发布时间是2022年2月24日，有效期3年。其支持政策的具体内容是新获批省五星级上云企业，给予最高10万元的奖励。。其支持政策的具体内容是新获批省级工业互联网平台、工业互联网标杆工厂及智能工厂的企业，分别给予最高100万元的奖励。。其支持政策的具体内容是对列入国家、省首台（套）重大装备认定及推广应用指导目录的产品，按照不高于年产品销售收入的10%给予补助，最高200万元。。其支持政策的具体内容是省级及以上工业互联网平台，按照不高于年平台投入的13%给予补助，最高500万元。其支持政策的具体内容是通过国家两化融合管理体系贯标，取得2A级、3A级评定证书的企业，分别给予最高15万元、20万元的奖励。。其支持政策的具体内容是对年智能制造设备、软件和技术服务投资额达到2000万元以上的项目，按照不高于投资额的13%给予补助，最高600万元。
扬州市的名为《关于开展2023年度扬州市智能制造示范工厂申报工作的通知》的政策,支持政策发布时间是2023年3月17日。其支持政策的具体内容是对年智能制造设备、软件和技术服务投资额达到2000万元以上的项目，按照不高于投资额的13%给予补助，最高600万元。
扬州市的名为关于开展2023年度市级中小企业公共服务示范平台认定工作的通知的政策,支持政策发布时间是2023年4月27日。其支持政策的具体内容是一、申报条件市级示范平台认定根据平台在建设水平、服务能力、服务绩效等方面情况进行综合评定，分一星、二星两个等级。市级示范平台原则上遵循逐级晋升原则，申报单位应根据自身实际情况合理选择申报相应星级。1.申报单位必须是符合《市认定办法》规定，为中小企业提供信息、技术、创业、融资、培训等服务的独立法人，在扬州注册且运营两年以上。2.有固定的经营服务场所和必要的服务设施、仪器设备等，资产总额不低于50万元。3.服务业绩突出，年服务中小企业50家以上（培训类平台服务企业不少于300家），用户满意度在85%以上。4.具有较强的专业服务能力，从事为中小企业服务的人员不少于6人，其中大专及以上学历、中级及以上技术职称的专业人员比例占80%以上。5.有健全的管理制度，规范的服务流程、合理的收费标准和完善的服务质量保证措施，对小微企业的服务要有相应的优惠条件，提供的公益性服务或低收费服务不少于总服务量的20%。6.具有较强的资源整合能力和服务辐射带动能力，集聚服务机构2家以上。7.按照有效期3年要求，2023年处于有效期最后一年的国家、省或市级示范平台需重新申报认定（详见附件）。8.获得国家、省、市小型微型企业创业创新示范基地（简称“示范基地”）认定，原则上不得新申报市级示范平台认定。二、申报程序1.平台申报：申报单位登录扬州市中小微企业公共服务平台——“易申报”系统（http://sme.yangzhou.gov.cn），于4月27日至5月31日完成线上申报，过期不予受理。2.县（市、区）审核：各地工信部门从扬州市中小微企业公共服务平台用户登录界面——部门登录端进入“易申报”审核端口（http://sme.yangzhou.gov.cn/login.html），于6月9日前完成辖区内示范平台申报材料审核。3.审查、评审与公示：市工信局对各地审核通过的单位进行材料审查、现场核查并组织专家评审，择优确定拟认定市级示范平台名单并公示，公示时间不少于5个工作日。市级示范平台实施动态管理，有效期三年，起止期为2024年1月1日—2026年12月31日。三、有关工作要求请各地工信部门于2023年6月9日前将2023年度市级中小企业公共服务示范平台推荐表（可在系统导出）盖章报送至市工信局服务体系建设处，并同步上传线上审核系统。联系人：曹天宇 联系电话：0514-82181720联系邮箱：819908671@qq.com技术支持：刘智慧18860926443、王志勇15952082870。
扬州市的名为《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》的政策,支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其支持政策的具体内容是新获批省五星级上云企业，给予最高10万元的奖励。其支持政策的具体内容是新获批省级工业互联网平台、工业互联网标杆工厂及智能工厂的企业，分别给予最高100万元的奖励。其支持政策的具体内容是对列入国家、省首台(套)重大装备认定及推广应用指导目录的产品，按照不高于年产品销售收入的10%给予补助，最高200万元。其支持政策的具体内容是省级及以上工业互联网平台，按照不高于年平台投入的13%给予补助，最高500万元。其支持政策的具体内容是通过国家两化融合管理体系贯标，取得2级，3A级评定证书的企业，分别给予最高15万元、20万元奖励。其支持政策的具体内容是对年智能制造设备、软件和技术服务投资额达到2000万元以上的项目，按照不高于投资额的13%给予补助，最高600万元。
扬州市的名为《2022年度市级智能化改造和数字化转型专项资金项目申报指南》的政策,支持政策发布时间是2022年8月24日。其支持政策的具体内容是对2022年1-8月份智能制设备、软件和技术服务发票总金额不低于2000万元（不含税，其中软件和技术服务费用不超过30%)，按照不高于发票总金额的13%给予补助，最高不超过600万元。。其支持政策的具体内容是1、省级（(含）以上重点工业互联网平台;2、2021年度平台总投入不低于200万元(不含税)，包括:服务器、防火墙、交换机、信息安全设备，与平台连接的设备、传感器、网关，软件和技术服务费用。以上按照不高于2021年度平台投入的13%给予补助，最高不超过500万元。。其支持政策的具体内容是1、产品列入2021年度省首台（套)重大装备认定、推广应用指导目录;2、2021年度企业研发费用不低于300万元(不含税)，且首台(套）重大装备销售额不低于300万元（不含税)。以上按照不高于该首台(套）重大装备2021年度销售金额的10%进行奖补，最高不超过200万元。。其支持政策的具体内容是1、2021年度获批国家智能制造、工业互联网、新─代信息技术与制造业融合发展、省级工业互联网标杆工厂、智能工厂的企业;2、2021年度企业设备及软件投入不低于500万元(不含税)。以上按照不高于2021年度投入的10%给予补助，获批国家级的最高不超过200万元，获批省级的最高不超过100万元。。其支持政策的具体内容是2021年度获批省级智能制造领军服务机构;2、2021年度对外承接的项目金额不低于1000万元(不含税)。按照不高于承接项目金额的2%给予奖励，最高不超过50万元。。其支持政策的具体内容是2021年度在网络部署、公共云平台建设、数据采集等数字化改造方面的设备和软件投入不低于300万元(不含税)，按照不高于2021年度投入总额的15%给予补助，最高不超过200万元。。其支持政策的具体内容是三星级上云3万元奖励。
仪征市的名为《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知的政策,支持政策发布时间是2022年5月24日。其支持政策的具体内容是新获批省五星级上云、四星级上云、三星级上云企业，分别给予不超过15万元、10万元、5万元的奖励。。其支持政策的具体内容是智能工厂投入方面，对年智能制造设备、软件和技术服务投入不低于1000万元的企业，按照不高于实际投资额的12%给予补助，最高600万元。智能车间投入方面，对年智能制造设备、软件和技术服务不低于600万元的企业，按照不高于实际投资额的12%给予补助，最高300万元。其他智能化改造投入方面，对年智能化投入不低于200万元的企业，按照不高于实际投资额的12%给予补助，最高100万元。。其支持政策的具体内容是国家级层面，新获批国家级智能制造示范工厂、工业互联网、新一代信息技术与制造业融合发展等试点示范认定的企业，分别给予不超过100万元的奖励。省级层面，新获批省级智能制造示范工厂、工业互联网平台、工业互联网标杆工厂的企业，分别给予不超过80万元的奖励；新获批省级智能制造示范车间、省首台（套）重大技术装备的企业，分别给予不超过50万元的奖励；市级层面，通过扬州市级智能工厂、智能车间认定的企业，分别给予不超过40万元、20万元的奖励。。其支持政策的具体内容是通过国家两化融合管理体系（升级版）贯标，取得A级（初始级）、AA级（单元级）、AAA级（流程级）的企业，分别给予不超过5万元、10万元、15万元的奖励；新获批国家级、省级两化融合示范类项目，分别给予不超过15万元、10万元的奖励。新获批国家级、省级两化融合示范培育类项目，分别给予不超过10万元、5万元的奖励。。其支持政策的具体内容是省级及以上工业互联网平台投入不低于1000万元的企业，按照不高于年平台投入的12%给予补助，最高500万元。。其支持政策的具体内容是获批省工业信息安全防护星级企业，按获批5星级、4星级、3星级、2星级、1星级分别给予不超过50万元、40万元、30万元、20万元、10万元的奖励。新获批省工业信息安全服务企业，给予不超过30万元的奖励。。其支持政策的具体内容是对网络部署、公共云平台建设、数据采集等数字化改造方面的投入，给予不超过50万元的奖励；新获批“互联网+先进制造业”基地，再给予不超过20万元的奖励。。
江都区的名为关于印发江都区制造业智能化改造和数字化转型实施意见的通知的政策,支持政策发布时间是2022年4月13日。其支持政策的具体内容是对当年新认定为省五星级、四星级、三星级上云企业，分别奖励10万元、8万元、5万元。。其支持政策的具体内容是工业企业在5G建设，产品设计、生产、销售、物流、服务等营运环节进行智能化创新应用（机器换人），购买管理（如ERP、OA等）、研发等软件，按企业当年数字化应用实际投入（包含软硬件）100万元以上，给予30%的奖补，单个企业不超过200万元。企业用于提升安全、环保、能耗的智能预警防控优化系统的项目，按企业当年智能预警防控优化系统实际投入（包含软硬件）5万元以上，给予30%的奖补，单个企业不超过100万元。。其支持政策的具体内容是鼓励工业企业创建智能制造试点示范，对当年创成省级示范智能工厂、省级示范智能车间的，分别奖励50万元、20万元。。其支持政策的具体内容是对当年获得省重点工业互联网平台、工业互联网标杆工厂、制造业“双创”示范平台等认定的企业，分别奖励30万元。其支持政策的具体内容是对当年获得江苏省首台（套）重大装备及关键部件示范和认定项目的企业，各奖励30万元（一个企业可同时享受两种奖励）。。其支持政策的具体内容是获得省“腾云驾数”转型升级计划优秀企业、产品和融合创新发展案例，分别奖励5万元。获得市“i创杯”互联网创新创业大赛一、二、三等奖，分别奖励5万元、3万元、2万元。。其支持政策的具体内容是对当年通过国家两化融合管理体系（升级版）贯标评定A级、AA级、AAA级的企业，分别奖励10万元、15万元、20万元。。其支持政策的具体内容是为工业企业提供数字化服务，应具备工业设备管理、数据资源管理、应用开发服务、工业应用服务、用户与开发者管理等基础能力。平台企业申报前2年（自然年）在信息化设备、软件、网络、系统集成等方面的投资总额应不低于2000万元且获得省级及以上相关部门工业互联网平台的认定，按照投资额的5%进行奖励；与平台签订合同的付费工业企业数量不少于100家，其中江都工业企业数量不少于50家，则再给予投资额5%的奖励。奖励工业互联网平台企业不超过200万元。。
经开区的名为《扬州经济技术开发区推动中小企业高质量发展的政策意见》的政策,支持政策发布时间是2021年4月29日，有效期五年。其支持政策的具体内容是1.对新获批省五星级、四星级、三星级的上云企业，分别给予10万元、5万元、2万元的奖励。。其支持政策的具体内容是2.对新获得省、市智能车间认定的企业，分别给予50万元、10万元的奖励。。其支持政策的具体内容是3.对新获批国家两化融合管理体系贯标证书的企业，给予20万元的奖励。对新获批国家、江苏省两化融合管理体系贯标示范试点的企业，分别给予10万元、5万元的奖励。。其支持政策的具体内容是4.对新认定国家级工业互联网、智能制造、制造业与互联网融合、制造业“双创”示范试点的企业，给予不超过100万元的奖励；对新认定江苏省重点工业互联网平台、工业互联网标杆工厂、智能制造领军服务机构、制造业“双创”示范平台企业，给予不超过50万元的奖励。。其支持政策的具体内容是5.对新获批国家级制造业“单项冠军”、“小巨人”企业，给予100万元的奖励；对新获批省级“小巨人”企业、“专精特新”产品，给予50万元的奖励。对新评定的市“独角兽”企业、“瞪羚”企业，分别给予10万元、5万元的奖励。。其支持政策的具体内容是6.对新创成省级绿色工厂的企业，给予30万元的奖励；对新获批工信部绿色设计产品的企业，给予20万元的奖励；对新进入工信部绿色供应链管理企业名单的企业，给予10万元的奖励。。
邗江区的名为邗江区智改数转行动清单2022-2024(1).pdf的政策,"支持政策发布时间是2022年。其支持政策的具体内容是省级及以上工业互联网平台，按照不高于平台投入的12%给予补助，最高500万。其支持政策的具体内容是对列入部、省首台(套)重大技术装备认定及推广应用指导目录的产品,按照不高于产品年销售收入的10%给予补助，年最高补助200万元，自认定年度起，连续享受3年。。其支持政策的具体内容是新获批5G全连接工厂的给予1000万元的奖励。新获批国家智能制造、工业互联网、新一代信息技术与制造业融合发展等试点示范认定的企业，分别给予200万元的奖励。新获批省智能制造示范工厂的企业，给予200万元的奖励;新获批省多场景融合、多系统集成、名设各协同的“5G+工业互联网”应用项目的企业，给予100万元的奖励;获批以上项目市级称号的，按不高于省级标准50%奖励。。其支持政策的具体内容是工业息安全防护星级企业的，按获批5星级、4星级、3星级、2星级、1星级分别给予50万元、40万元、30万元、20万元、10万元的奖励。新获批省工业信息安全服务企业的，奖励30万元。。"
邗江区的名为《邗江区关干堆进制造业智能业改造和数字化转型的政策措施》的政策,"支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其支持政策的具体内容是对获批省三星级、四星级、五星级的上云企业，分别给予5万元、10万元，20万元;对实施智能车间建设的工业企业，获批省级优秀示范车间认定的给予80万元补助，获批省级示范车间认定的给予50万元补助，获批市级优秀智能车间认定的给予30万元补肋，获批市级示范车间认定的给予20万元补助;。其支持政策的具体内容是省级及以上工业互联网平台，按照不高于平台投入的12%给予补助，最高500万。其支持政策的具体内容是对列入部、省首台(套)重大技术装备认定及推广应用指导目录的产品，按照不高于产品年销售收入的10%给予补助，年最高补助200万元，自认定年度起，连续享受3年。。其支持政策的具体内容是新获批5G全连接工厂的给予1000万元的奖励。新获批国家智能制造、工业互联网、新一代信息技术与制造业融合发展等试点示范认定的企业，分别给予200万元的奖励，新获批省智能制造示范工厂的企业给予200万元的奖励;新获批省多场景融合，多系统集成，名设各协同的“5G+工业互联网""应用项目的企业，给予100万元的奖励;获批以上项目市级称号的，按不高于省级标准50%奖励。。其支持政策的具体内容是工业息安全防护星级企业的，按获批5星级、4星级，3星级，2星级，1星级分别给予50万元，40万、30万元，20万元。10万元的奖励，新获批省工业信息安全服务企业的，奖励30万元。。"
