Quary,Answer
国家的支持政策文件有哪些？,工业设备网络化“5G+工业互联网”。跨行业跨领域综合型工业互联网平台。重点行业和区域的特色型工业互联网平台。特定技术领域的专业型工业互联网平台。工业设备和业务系统上云上平台。平台应用服务。工业互联网公共服务平台。平台技术供给质量。“工业互联网+安全生产”。网络安全。智能化制造。工业互联网大数据中心。高质量工业APP。平台间数据互联互通。
网络类别中名为工业设备网络化的项目,政策包括：1、工业和信息化部办公厅关于开展2021年度国家新型工业化产业示范基地申报工作的通知国家新型工业化产业示范基地申报条件.pdf。
网络类别中名为“5G+工业互联网”的项目,政策包括：1、两部门关于组织开展5G+医疗健康应用试点项目申报工作的通知2、“5G+工业互联网”十个典型应用场景和五个重点行业实践3、“5G+工业互联网”512工程推进方案.docx。
平台类别中名为跨行业跨领域综合型工业互联网平台的项目,政策包括：1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc。
平台类别中名为重点行业和区域的特色型工业互联网平台的项目,政策包括：1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc。
平台类别中名为特定技术领域的专业型工业互联网平台的项目,政策包括：1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc。
平台类别中名为工业设备和业务系统上云上平台的项目,政策包括：附件：工业互联网创新发展行动计划（2021-2023年）.doc。
平台类别中名为平台应用服务的项目,政策包括：附件：工业互联网创新发展行动计划（2021-2023年）.doc。
平台类别中名为工业互联网公共服务平台的项目,政策包括：1、工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号。
平台类别中名为平台技术供给质量的项目,政策包括：附件：工业互联网创新发展行动计划（2021-2023年）.doc。
安全类别中名为“工业互联网+安全生产”的项目,政策包括：1、《“工业互联网+安全生产”行动计划（2021-2023年）》2、工业互联网企业网络安全分类分级指南（试行）.pdf3、工业和信息化部办公厅关于开展工业互联网企业网络安全分类分级管理试点工作的通知4、GB／T36324-2018信息安全技术工业控制系统信息安全分级规范.pdf。
安全类别中名为网络安全的项目,政策包括：1、2021年新一代信息技术与制造业融合发展试点示范实施方案.doc2、工业和信息化部办公厅关于组织推荐2021年国家技术创新示范企业的通知。
智能制造类别中名为智能化制造的项目,政策包括：关于组织推荐第六批制造业单项冠军和复核第三批制造业单项冠军的通知工业和信息化部办公厅关于开展2021年度绿色制造名单推荐工作的通知。《关于开展2023年度智能制造试点示范行动的通知》（工信厅联通装函〔2023〕212号）。《工业互联网标识管理办法》.docx。
数据类别中名为工业互联网大数据中心的项目,政策包括：2021年大数据产业发展试点示范项目申报和实施指南.doc。
数据类别中名为高质量工业APP的项目,政策包括：2021年大数据产业发展试点示范项目申报和实施指南.doc。
数据类别中名为平台间数据互联互通的项目,政策包括：2021年大数据产业发展试点示范项目申报和实施指南.doc。
