Quary,Answer
南京市的支持政策文件有哪些？,星级上云江苏省智能制造示范工厂。5G全连接工厂。国家级服务型制造示范（包括示范企业、示范平台、示范项目）。专项资金。智能制造示范工厂项目。智能制造示范车间项目。工业互联网平台项目。5G基站建设项目。专精特新中小企业。江苏省智能制造领军服务机构。第二批智能化改造和数字化转型服务商。人工智能示范应用场景需求和典型应用案例。省规划布局内重点软件企业和专精特新软件企业。江苏省智能制造领军服务机构。人工智能示范应用场景需求和典型应用案例。软件企业和专精特新软件企业培育入库工作的通知。软件类关键核心技术攻关项目。省级绿色工厂省级绿色工业园区。工业软件优秀产品及首版次工业软件产品应用试点项目。专精特新。两化融合。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。专精特新产品/小巨人企业。单项冠军示范企业（产品）。支持重大项目引进。支持产业联动发展。支持企业开拓创新。支持企业转型升级。支持企业扩大规模。技改项目。打造领军企业。支持打造一流品牌。星级上云。智能工厂、智能车间。两化（深度）融合类示范试点。工业互联网。服务型制造企业。互联网平台。5G+工业互联网。绿色工厂。知识产权。支持外贸企业。标杆工厂、智能工厂、智能车间。星级上云。工业软件APP。两化融合培育企业。两化融合管理体系AAA级贯标。5g工厂、智能车间、智能工厂、标杆工厂、两化融合。专精特新。技改。市级标杆应用场景。专精特新。支持企业信息化能力提升（星级上云与两化融合方面）。支持企业智能化方向发展（工业设计及首台套方面进行奖励）。支持产业绿色低碳化发展。支持产业高端示范化建设（技改投入等方面进行补贴）。星级上云。专精特新。新落户。资质认证扶持。规模提升扶持。星级上云。数字化转型改造。数字应用场景搭建。研发科技项目。智改数转升级计划。数字化转型。
星级上云的项目。,南京市的支持政策发布时间是2022年9月30日。其政策名称是关于组织开展2022年度第二批省星级上云企业创建工作的通知，其支持政策的具体内容是1、各项云服务均已连续使用不少于3个月且申报时仍在使用（上云时间计算截止到2022年9月30日，上云投入按2021年8月1日至2022年9月30日期间实际付款金额计算）。，其支持政策的奖补情况是自2022年10月9日起，在江苏省工业互联网示范企业公共服务平台中填报申报信息，并严格按照星级上云企业申报要求如实在平台上传项目申报电子版材料（附件2、3、4），平台关闭日期为2022年10月28日。。
江苏省智能制造示范工厂的项目。,南京市的支持政策发布时间是2022年9月30日。其政策名称是关于开展2023年江苏省智能制造示范工厂申报工作的通知，其支持政策的具体内容是1、申报企业具有良好的智能制造基础，通过智能制造数据资源公共服务平台开展智能制造能力成熟度自评估，达到国家标准《智能制造能力成熟度模型》（GB/T39116-2020）二级及以上。2、申报工厂应符合江苏省智能制造示范工厂项目建设要点（附件1），使用的关键技术装备、工业软件须安全可控。，其支持政策的奖补情况是于2022年10月20日前将加盖有效公章的纸质版项目申报书（一式三份）、推荐审核情况表（附件3）、申报汇总表（附件4）以及推荐行文（一式两份）报送至市工业和信息化局信息化建设与发展处（联系人：裴玉蓉，电话：025-68788901），并将电子版文档发送至邮箱295672702@qq.com。。
5G全连接工厂的项目。,南京市的支持政策发布时间是2022年9月20日。其政策名称是关于做好2022年度5G全连接工厂申报工作的通知，其支持政策的具体内容是1、申报项目应符合《5G全连接工厂建设指南》（附件1），使用的关键技术装备、工业软件须安全可控。2、申报项目须为已建成项目。已获得国家5G全连接工厂试点示范项目的，不再参与本次申报。，其支持政策的奖补情况是请各区（开发区）工信部门于2022年10月12日（周三）下班前将推荐项目的纸质版申报书、推荐项目汇总表（附件3）盖章后（一式两份）报至市工业和信息化局信息化建设与发展处，同步将电子版文档发送至指定邮箱。。
国家级服务型制造示范（包括示范企业、示范平台、示范项目）的项目。,南京市的支持政策发布时间是2022年3月1日。其政策名称是《推进企业创新促进产业高质量发展政策实施细则》无需企业申报，市工业和信息化局根据新认定的企业名单，经审查合格后，会同市财政局给予资金支持。，其支持政策的具体内容是对新认定的国家级服务型制造示范（包括示范企业、示范平台、示范项目）和国家级工业设计中心，给予最高100万元奖励。，其支持政策的奖补情况是请各区（开发区）工信部门于2022年10月12日（周三）下班前将推荐项目的纸质版申报书、推荐项目汇总表（附件3）盖章后（一式两份）报至市工业和信息化局信息化建设与发展处，同步将电子版文档发送至指定邮箱。。
专项资金的项目。,南京市的支持政策发布时间是2022年11月8日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其支持政策的具体内容是1、省申报通知明确，项目申报采取网上申报方式进行，申报单位在线填写申报表，并上传其他申报材料。推荐采用电子签名、签章，无法申请电子签名、签章的，应线下盖章后扫描上传至系统。2、各区（开发区）工信部门通过专项资金项目库管理系统审核本地区项目材料，未经审核通过的申报材料，市里不予受理。对审核通过的项目，由各区（开发区）工信部门会同财政部门联合行文上报（请示件纸质2份），并附申报系统自动生成的推荐项目汇总表（工信、财政加盖单位公章，2份），2022年11月18日前报送市工业和信息化局综合规划与投资处，并扫描上传系统，线上审核同步完成。11月24日前，市工业和信息化局各条线处室完成线上审核，推送到综合规划与投资处。3、企业网上申报开始时间为2022年10月24日，各区（开发区）初审并报送联合行文截止时间为2022年11月18日，过时不再受理。，其支持政策的奖补情况是2022年11月18日前报送市工业和信息化局综合规划与投资处，并扫描上传系统，线上审核同步完成。11月24日前，市工业和信息化局各条线处室完成线上审核，推送到综合规划与投资处。企业网上申报开始时间为2022年10月24日，各区（开发区）初审并报送联合行文截止时间为2022年11月18日，过时不再受理。。
智能制造示范工厂项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目总投入须不低于2000万元。2、项目备案（核准）、环评、能评等手续完备。3、项目在2022年6月30日（含）前已建成并正常投产使用，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。4、同等条件下，智能制造示范工厂项目优先支持列入2021年度国家智能制造示范工厂揭榜单位、2022年度江苏省省级智能制造示范工厂名单的企业。，其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。。
智能制造示范车间项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目总投入须不低于500万元。2、项目备案（核准）、环评、能评等手续完备。3、项目在2022年6月30日（含）前已建成并正常投产使用，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。4、同等条件下，智能制造示范车间项目优先支持列入2021年度江苏省省级智能制造示范车间名单的企业。，其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。。
工业互联网平台项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目总投入不低于500万元，且软件投入（购置费、合作费、集成费）不少于总投入的30%，人工费用不超过总投入的20%。2、项目在2022年6月30日（含）前已建成并正常投入使用，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。3、同等条件下，对2021年以来认定的省（含）以上重点工业互联网平台优先予以支持。，其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。。
5G基站建设项目的项目。,南京市的支持政策发布时间是2022年10月21日。其政策名称是关于2022年南京市工业和信息化发展专项资金项目申报的通知，其支持政策的具体内容是1、项目在2022年1月1日以后启动，且须在2022年底前建设完成并投入使用。，其支持政策的奖补情况是项目申报采取网上申报方式进行，在南京市工业和信息化局官网或“宁企通”平台上，点击“南京市工业和信息化发展专项资金项目申报和监管平台”进入申报页面，在线填写项目申报表，并上传其他申报材料。网上申报受理时间为2022年10月25日至2022年11月10日，逾期不再受理申报。。
