Quary,Answer
盐城市的名为单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业的项目,政策包括：《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》。《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》。
盐城市的名为星级上云的项目,政策包括：关于组织申报2022年度盐城市市本级先进制造业发展专项资金项目的通知。
盐城市的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：关于《盐城市规模以上工业企业智能化改造和数字化转型三年行动计划（2022-2024年）》起草情况说明。
盐城市的名为市本级工业强市（先进制造业发展）专项资金项目的项目,政策包括：《关于组织2023年度盐城市市本级工业强市（先进制造业发展）专项资金项目入库的通知》。
盐城市的名为企业技术改造的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为智改数转的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为新招引产业项目的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为工业新增长点培育的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为优质企业集群培育的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为规范认证项目的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为总部迁入发展的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为企业兼并重组的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为企业创新发展的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为产业链配套协作的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为企业推广应用新产品的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为公共服务能力提升的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为服务型制造的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为新车型研发销售的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为免费诊断和轻量级改造的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为设立贷款贴息补助的项目,政策包括：《盐城市先进制造业发展办法》。
盐城市的名为标杆企业培育的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为工业互联网发展的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为数字产业企业能级提升的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为节能降耗项目的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
盐城市的名为市级工业园区建设的项目,政策包括：《盐城市先进制造业发展办法》。《盐城市先进制造业发展办法》。
东台市的名为星级上云的项目,政策包括：《东政办发〔2022〕23号东台市智改数转三年行动计划》。
东台市的名为智能工厂、工业互联网平台、工业互联网标杆工厂的项目,政策包括：《东政办发〔2022〕23号东台市智改数转三年行动计划》。
东台市的名为“智改数转”项目的项目,政策包括：《东政办发〔2022〕23号东台市智改数转三年行动计划》。
东台市的名为制造业数字化典型应用场景及实践案例的项目,政策包括：《东政办发〔2022〕23号东台市智改数转三年行动计划》。
阜宁的名为星级上云的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
阜宁的名为智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
阜宁的名为信息化改造和应用系统的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
阜宁的名为制造业数字化典型应用场景及实践案例的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
阜宁的名为市级“智改数转“示范企业、工业互联网平台、工业数字化示范场景的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
阜宁的名为工业互联网标识解析的项目,政策包括：《关千印发阜宁县规模以上工业企业智能化改造和数字化转型三年行动计划(2022-2024年）的通知》《关千印发阜宁县推进规模以上工业企业智能化改造和数字化转型实施方案的通知》。
