Quary,Answer
地市的名为申报项目的项目,政策包括：文件名。
连云港市的名为智能制造示范工厂的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为特色工业互联网平台的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为两化融合管理体系贯标的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为省级工业互联网标杆工厂的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为“5G+工业互联网”融合应用的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为标识解析二级节点的项目,政策包括：《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）。
连云港市的名为专精特新“小巨人”的项目,政策包括：市政府印发关于深化创新型城市建设若干政策的通知。
连云港市的名为专精特新中小企业的项目,政策包括：市政府印发关于深化创新型城市建设若干政策的通知。
连云港市的名为省级、市级智能制造示范车间的项目,政策包括：《关于做好2023年省级、市级智能制造示范车间申报工作的通知》。
连云港市的名为星级上云的项目,政策包括：《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》。
连云港市的名为智能制造示范车间的项目,政策包括：《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》。
连云港市的名为专精特新的项目,政策包括：《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》。
连云港市的名为绿色工厂的项目,政策包括：《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》。
连云港市的名为软件类关键核心技术攻关项目的项目,政策包括：关于转发《关于组织2023年软件类关键核心技术攻关项目征集工作的通知》的通知。
连云港市的名为“i创杯”互联网创新创业大赛的项目,政策包括：关于转发《关于举办第八届“i创杯”互联网创新创业大赛的通知》的通知。
高新区的名为1、支持强优工业企业提升经普业蛾的项目,政策包括：《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。
高新区的名为2、培育扶持小微企业成长的项目,政策包括：《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）。
高新区的名为3、获得相应称号的奖勃的项目,政策包括：《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号。《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。
高新区的名为4、强化科技创新驱动的项目,政策包括：《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）。
