Quary,Answer
高端化改造升级的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
智能制造示范工厂的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
工业互联网标杆工厂的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
“5G+工业互联网”融合应用的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
智能制造领军服务机构的项目,政策包括：《江苏省智能制造领军服务机构遴选培育实施方案（试行）》关于印发《江苏省智能制造领军服务机构遴选培育实施方案（试行）》的通知.pdf附件1-江苏省智能制造领军服务机构申报书0720.doc关于开展2022年江苏省智能制造领军服务机构遴选工作的通知。
工业互联网服务资源池的项目,政策包括：关于充实和加强省工业互联网服务资源池建设工作的通知关于充实和加强省工业互联网服务资源池建设工作的通知.pdf附件1：江苏省工业互联网服务资源池入池申请和分类分级评估工作说明（试行）.docx。
省级智能制造示范车间的项目,政策包括：关于做好2023年省级智能制造示范车间申报工作的通知。
专项资金入库的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
“千企升级”企业入库培育和创新型中小企业评价的项目,政策包括：关于组织开展2022年度“千企升级”企业入库培育和创新型中小企业评价工作的通知。
2023年度省级专精特新中小企业申报认定和2020年度省级专精特新企业复核的项目,政策包括：《关于组织开展2023年度省级专精特新中小企业申报认定和2020年度省级专精特新企业复核工作的通知》。
5G工厂的项目,政策包括：《关于加快推进5G全连接工厂建设的通知》。《关于组织开展2023年度5G工厂申报工作的通知》。
国家服务型制造示范的项目,政策包括：关于组织开展2023年国家服务型制造示范遴选和评估评价工作的通知。
省级绿色工厂省级绿色工业园区的项目,政策包括：关于开展第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作的通知。
省重点领域首版次软件产品的项目,政策包括：《关于开展2023年江苏省重点领域首版次软件产品征集工作的通知》。
省级中小企业公共服务示范平台的项目,政策包括：《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》。
新一代信息技术典型产品、应用和服务案例遴选的项目,政策包括：《关于组织开展2023年新一代信息技术典型产品、应用和服务案例遴选工作的通知》》。
双跨平台的项目,政策包括：《关于组织申报2023年跨行业跨领域工业互联网平台的通知》。
“双化协同”服务资源池单位的项目,政策包括：《省委网信办省发展改革委省工业和信息化厅省生态环境厅省通信管理局关于开展江苏省数字化绿色化协同转型发展服务资源池单位征集工作的通知》。
