Quary,Answer
地市的名为文件名的项目。,地市的支持政策发布时间是发布时间。其支持政策的具体内容是具体内容;其支持政策的类别是类别;其支持政策的奖励金额是奖励金额。
连云港市的名为《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）的项目。,连云港市的支持政策发布时间是2022年2月28日。其支持政策的具体内容是对经认定的国家、省智能制造示范工厂分别给予最高200万元、100万元奖励。;其支持政策的具体内容是对获国家认定的跨行业跨领域工业互联网平台、省级认定的工业互联网标杆工厂和工业电商平台分别给予最高200万元、80万元和60万元奖励。;其支持政策的具体内容是对通过两化融合管理体系贯标评定的企业，按照评定分级，对5A级、4A级、3A级、2A级、A级分别给予最高60万元、50万元、40万元、20万元、10万元奖励。;其支持政策的具体内容是对获省级认定的工业互联网标杆工厂最高80万元奖励。;其支持政策的具体内容是对入选国家、省级、市级示范应用案例的试点示范项目分别给予最高50万元、30万元、10万元奖励。支持企业建设5G全连接工厂，对被认定为5G全连接工厂的企业给予最高100万元奖励。;其支持政策的具体内容是加快推进标识解析二级节点建设和应用推广，对完成与国家顶级节点对接的新建二级节点建设单位，给予最高50万元奖励；对年度新增注册企业数达到年度目标任务的二级节点运营单位给予最高20万元奖励，对年度新增标识注册量、新增标识解析量完成年度目标任务的，给予二级节点运营单位最高60万元奖励。;
连云港市的名为市政府印发关于深化创新型城市建设若干政策的通知的项目。,连云港市的支持政策发布时间是2021年8月30日。其支持政策的具体内容是获得国家级制造业单项冠军企业、专精特新小巨人企业的，分别给予100万元奖励；获得省“科技小巨人”企业的，给予50万元奖励。;其支持政策的具体内容是获得国家级制造业单项冠军企业、专精特新小巨人企业的，分别给予100万元奖励；获得省“科技小巨人”企业的，给予50万元奖励。;
连云港市的名为《关于做好2023年省级、市级智能制造示范车间申报工作的通知》的项目。,连云港市的支持政策发布时间是2023年6月27日。其支持政策的具体内容是一、请各县（区）工信部门组织企业认真对照智能制造示范车间申报条件进行自我评价，填报《智能制造示范车间申请表》，原则上一家企业只能申报一个车间，已获得两个及以上省级智能制造示范车间（省级示范智能车间）的企业不得再次申报省级智能制造示范车间。企业应对申报材料的真实性负责，并出具真实性承诺书。二、企业申报材料：申请表、承诺书和营业执照复印件。三、请各县（区）工信部门严格对照申报条件，在做好申报组织工作的同时，对企业申报材料进行认真审核把关，并填报智能制造示范车间推荐审核情况表。四、请各县（区）工信部门行文推荐上报市工信局，并填报智能制造示范车间申报汇总表。于7月10日前将请示文件（附推荐审核情况表、申报汇总表）、企业申报材料报送至市工信局投资与技术改造处，电子文档请扎口汇总后发送至邮箱：85804826@163.com。五、省级、市级智能制造示范车间申报工作同步推进，市工信局将在县区推荐审核的基础上开展材料审核、现场核查，认定市级智能制造示范车间，并从中择优推荐申报省级智能制造示范车间。联系人：市工信局张曜晖，85806653，市财政局周勇，85521162。;
连云港市的名为《关于组织申报助企纾困解难财政补贴资金工信类项目的通知》的项目。,连云港市的支持政策发布时间是2022年6月15日。其支持政策的具体内容是对于2021年度市区获得的三星级上云企业奖励2万元/家，四星级上云企业奖励6万元/家。;其支持政策的具体内容是获得省智能制造示范车间、市智能制造示范车间的分别给予20万元、10万元奖励，从市级晋级为省级的，按差额奖励。;其支持政策的具体内容是支持方向及奖补标准。对获得国家级制造业单项冠军企业（产品）或国家专精特新小巨人认定的，给予100万元奖励；获得省“小巨人”企业认定的，奖励50万元；获得省“专精特新”产品认定的，给予10万元/个的奖励；获得市级小巨人企业认定的，奖励20万元；获得市“专精特新”产品认定的，给予5万元/个的奖励。之前已兑付的部分不再重复兑付。;其支持政策的具体内容是（1）获得工信部认定的国家级绿色供应链，奖励100万元；（2）获得工信部认定的国家级绿色工厂，奖励80万元；（3）获得省工信厅认定的省级绿色工厂，奖励50万元；（4）获得市工信局认定的市级绿色工厂，奖励20万元；;
连云港市的名为关于转发《关于组织2023年软件类关键核心技术攻关项目征集工作的通知》的通知的项目。,连云港市的支持政策发布时间是2023年3月31日。其支持政策的具体内容是省工信厅近期开展2023年软件类关键核心技术攻关项目征集工作，遴选一批具备自主核心技术基础、市场应用前景好、示范带头作用强的优质项目。请各县区工信部门按照通知要求，积极组织指导本地区项目实施单位报送软件类关键核心技术攻关项目征集信息表，于4月14日前将项目征集信息表电子版和纸质版材料报送市工信局信息产业处。;
连云港市的名为关于转发《关于举办第八届“i创杯”互联网创新创业大赛的通知》的通知的项目。,连云港市的支持政策发布时间是2023年5月30日。其支持政策的具体内容是现将省工信厅《关于举办第八届“i创杯”互联网创新创业大赛的通知》转发给你们，此次大赛于5月26日开始报名，7月30日报名结束，请各县区工信部门根据通知要求，在本地区统筹组织安排大赛的宣传、发动和报名工作。各有关园区、单位要积极发挥优势，通过各自渠道加大对大赛的宣传力度，发动、推荐互联网创业团队和企业积极参赛，省级互联网众创园、大数据产业园至少各自推荐5个项目参赛。请将参赛项目情况及时反馈我处（推荐单位建议选择市工信局或省级相关园区），以便做好项目推荐和协调工作。联系人：信息产业处李广超联系方式：85825572电子邮箱：xxcyfz@163.com;
高新区的名为《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）的项目。,高新区的支持政策发布时间是2021年。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到1亿元;其支持政策的奖励金额是10万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到5亿元;其支持政策的奖励金额是25万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到10亿元;其支持政策的奖励金额是40万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到30亿元;其支持政策的奖励金额是60万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到50亿元;其支持政策的奖励金额是80万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到100亿元;其支持政策的奖励金额是150万元。其支持政策的具体内容是上台阶奖励：对企业年度应税销售收入首次的奖励;其支持政策的类别是首次达到200亿元;其支持政策的奖励金额是300万元。
高新区的名为《连云港高新区扶持企业加快发展若干政策（试行）》（连高管〔2021〕22号）的项目。,"高新区的支持政策发布时间是2021年。其支持政策的具体内容是首次成为规模以上工业企业（年度应税销售收入首次达到2000万及以上）;其支持政策的类别是给予10万元一次性奖励（若1-9月达1500万,额外奖励5万元）;其支持政策的奖励金额是300万元。其支持政策的具体内容是首次成为规模以上工业企业（年度应税销售收入首次达到2000万及以上）;其支持政策的类别是给予10万元一次性奖励（若1-9月达1500万,额外奖励5万元）;其支持政策的奖励金额是300万元。"
高新区的名为《关于进一歩促进民营经济高质量发展的实施方案》连发〔2019〕23号的项目。,"高新区的支持政策发布时间是2019年。其支持政策的具体内容是获“公共服务平台”称号;其支持政策的类别是国家级;其支持政策的奖励金额是50万元。其支持政策的具体内容是获“公共服务平台”称号;其支持政策的类别是省級三星級;其支持政策的奖励金额是10万元。其支持政策的具体内容是获“公共服务平台”称号;其支持政策的类别是省級四星級;其支持政策的奖励金额是20万元。其支持政策的具体内容是获“公共服务平台”称号;其支持政策的类别是省級五星级;其支持政策的奖励金额是30万元。其支持政策的具体内容是获“省級小微企业创业创新示范基地”称号;其支持政策的类别是省級;其支持政策的奖励金额是10万元。其支持政策的具体内容是获“国家級制造业单项冠军企业（产品）""称号;其支持政策的类别是国家級;其支持政策的奖励金额是100万元。其支持政策的具体内容是获“专精特新企业”称号;其支持政策的类别是国家級;其支持政策的奖励金额是100万元。其支持政策的具体内容是获“专精特新企业”称号;其支持政策的类别是省級;其支持政策的奖励金额是50万元。"
高新区的名为《中共连云港市委连云港市人民政府关于加快工业经济发展的意见》（连发〔2015〕17号）的项目。,高新区的支持政策发布时间是2015年。其支持政策的具体内容是获“服务型制造示范企业”称号;其支持政策的类别是省級;其支持政策的奖励金额是30万元。其支持政策的具体内容是对通过省级以上部门鉴定、达到国内先进技术水平的新产品、新技术奖励;其支持政策的类别是省級;其支持政策的奖励金额是3万元/个。其支持政策的具体内容是获“省优秀软件产品奖（金慧奖）”称号;其支持政策的类别是省級;其支持政策的奖励金额是20万元/个。其支持政策的具体内容是认定”企业技术中心”;其支持政策的类别是国家級;其支持政策的奖励金额是150万元。其支持政策的具体内容是认定”企业技术中心”;其支持政策的类别是省级;其支持政策的奖励金额是60万元。其支持政策的具体内容是认定”企业技术中心”;其支持政策的类别是市级;其支持政策的奖励金额是20万元。
高新区的名为《中共连云港市委连云港市人民政府关于加快工业经济发展的意见〉（连发〔2015〕17号）的项目。,高新区的支持政策发布时间是2015年。其支持政策的具体内容是获“智能制造示范车间”称号;其支持政策的类别是省級;其支持政策的奖励金额是20万元/个。其支持政策的具体内容是获“智能制造示范车间”称号;其支持政策的类别是市級;其支持政策的奖励金额是10万元/个。
高新区的名为关于印发《支持制造业智能化改造和数字化转型的具体措施》的通知（连制造强市办〔2022〕11号）的项目。,高新区的支持政策发布时间是2022年。其支持政策的具体内容是获“智能制造示范工厂”称号;其支持政策的类别是国家級;其支持政策的奖励金额是200万元/个。其支持政策的具体内容是获“智能制造示范工厂”称号;其支持政策的类别是省級;其支持政策的奖励金额是100万元/个。其支持政策的具体内容是认定“两化融合贯标试点”企业;其支持政策的类别是5A级;其支持政策的奖励金额是60万元/个。其支持政策的具体内容是认定“两化融合贯标试点”企业;其支持政策的类别是4A級;其支持政策的奖励金额是50万元/个。其支持政策的具体内容是认定“两化融合贯标试点”企业;其支持政策的类别是3A级;其支持政策的奖励金额是40万元/个。其支持政策的具体内容是认定“两化融合贯标试点”企业;其支持政策的类别是2A级;其支持政策的奖励金额是20万元/个。其支持政策的具体内容是认定“两化融合贯标试点”企业;其支持政策的类别是A级;其支持政策的奖励金额是10万元/个。
高新区的名为关于印发《支持制造业智能化改造和数字化转型的具体措施》的通知（连制造强市办〔2022〕11号）的项目。,高新区的支持政策发布时间是2022年。其支持政策的具体内容是认定“特色工业互联网平台”企业;其支持政策的类别是国家级跨行业跨领域平台;其支持政策的奖励金额是200万元/个。其支持政策的具体内容是认定“特色工业互联网平台”企业;其支持政策的类别是省级标杆工厂;其支持政策的奖励金额是80万元/个。其支持政策的具体内容是认定“特色工业互联网平台”企业;其支持政策的类别是省级工业电商平台;其支持政策的奖励金额是60万元/个。其支持政策的具体内容是认定“工业信息安全防护星級企业”;其支持政策的类别是五星级;其支持政策的奖励金额是100万元。其支持政策的具体内容是认定“工业信息安全防护星級企业”;其支持政策的类别是四星级;其支持政策的奖励金额是60万元。其支持政策的具体内容是认定“工业信息安全防护星級企业”;其支持政策的类别是三星级;其支持政策的奖励金额是40万元。其支持政策的具体内容是认定“工业信息安全防护星級企业”;其支持政策的类别是二星级;其支持政策的奖励金额是30万元。其支持政策的具体内容是认定“工业信息安全防护星級企业”;其支持政策的类别是一星级;其支持政策的奖励金额是20万元。其支持政策的具体内容是认定“工业APP”优秀解决方案;其支持政策的类别是国家级;其支持政策的奖励金额是50万元/个。其支持政策的具体内容是认定“工业APP”优秀解决方案;其支持政策的类别是省级;其支持政策的奖励金额是30万元/个。其支持政策的具体内容是认定“工业APP”优秀解决方案;其支持政策的类别是入围汇聚平台;其支持政策的奖励金额是2万元/个。
高新区的名为关于印发《支持制造业智能化改造和数字化转型的具体措施〉的通知（连制造强市办〔2022〕11号）的项目。,高新区的支持政策发布时间是2022年。其支持政策的具体内容是认定“示范应用案例试点项目”;其支持政策的类别是国家级;其支持政策的奖励金额是50万元/个。其支持政策的具体内容是认定“示范应用案例试点项目”;其支持政策的类别是省级;其支持政策的奖励金额是30万元/个。其支持政策的具体内容是认定“示范应用案例试点项目”;其支持政策的类别是市级;其支持政策的奖励金额是10万元/个。
高新区的名为《关于开展2021年全省双软评估申报工作的通知》的项目。,高新区的支持政策发布时间是2022年。其支持政策的具体内容是认定“双软评估“;其支持政策的类别是省级;其支持政策的奖励金额是0.5万元/个。
高新区的名为连云港市省“星级上云企业”奖补资金实施细则（连工信发〔2021〕134号）的项目。,高新区的支持政策发布时间是2021年。其支持政策的具体内容是企业星级上云;其支持政策的类别是三星级;其支持政策的奖励金额是1万。其支持政策的具体内容是企业星级上云;其支持政策的类别是四星级;其支持政策的奖励金额是3万元。其支持政策的具体内容是企业星级上云;其支持政策的类别是五星级;其支持政策的奖励金额是10万元。
高新区的名为《关于印发2020年连云港市新能源汽车推广应用地方财政补贴实施细则的通知）（连财工贸16号）的项目。,高新区的支持政策发布时间是2020年。其支持政策的具体内容是新能源汽车和充电设施奖补;其支持政策的类别是省级;其支持政策的奖励金额是待定。
