Quary,Answer
"制造业企业新模式、新业态类项目项目中,泰州市的支持政策的名称是",《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》
"制造业企业新模式、新业态类项目项目中,泰州市的支持政策发布的时间是",2023年4月4日
"制造业企业新模式、新业态类项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：①项目申报主体为市级以上服务型制造示范企业；②制造业企业服务化项目服务性收入达主营业务收入的10%以上；③申报项目2022年总投入（不含税）达到300万元及以上。2、奖励标准：按不超过项目投入（不含税）的10%给予补助，单个企业最高100万元。
"工业设计与制造业融合发展类项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：①申报企业为泰州市区注册的制造业法人企业（即合同的甲方），与提供工业设计外包服务的独立法人企业（即合同的乙方）不是关联企业；②甲、乙双方已就采购工业设计外包服务项目签订合同，并经甲方所在地工业设计主管部门确认；③项目主要内容属于产品设计、品牌设计等工业设计范畴，符合泰州市鼓励发展的产业导向；④甲方已收到乙方交付的最终设计成果并投入应用；⑤甲方已向乙方支付全部设计费用并收到乙方开具的发票（实际支付金额不低于10万元，最终付款时间和最终开票时间均应在政策有效期内）。2、奖励标准：按不超过外包项目合同履约金额的10%给予补助，单个项目最高25万元。
"互联网化提升类项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：①企业在建或已完成互联网化提升项目，需围绕研发设计协同化、生产管控集成化、购销经营平台化、制造服务网络化等重点环节提升互联网融合创新发展水平；②软件和配套硬件等2022年投资（不含税）达200万元以上，且软件投入（包括购置费、开发费、测试验证费、项目咨询费、人工费等，其中人工费用不超过总投入的10%）不少于总投入的30%。项目总投入包括设备、工具、器具等固定资产投资（仅包含可实现联网和数据采集或为实现上述目的采购相关硬件发生的投入），以及与项目有关的软件、系统集成、检验检测、专利等其他投入。2、奖励标准：对企业在上述重点环节实施信息化改造、软件和配套硬件等投资（不含税）达200万元以上，且软件投资占比不低于30%的项目，按不超过项目投入（不含税）的12%给予补助，单个项目最高150万元。
" 中小企业加快发展类项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：①符合国家现行有关中小企业划分标准中认定的中小企业（工信部联企〔2011〕300号）；②开票销售收入、入库税收两项指标连续两年增长率均超过20%的企业。2、奖励标准：①年主营业务收入2000–5000万元（含2000万元）之间的企业，2022年开票销售收入、入库税收两项指标较上年增长30%以上且入库税收达50万元，最高奖励10万元；②年主营业务收入5000万元–1亿元（含5000万元）之间的企业，2022年开票销售收入、入库税收两项指标较上年增长25%以上且入库税收达100万元，最高奖励15万元；③年主营业务收入1亿元及以上的企业，2022年开票销售收入、入库税收两项指标较上年增长20%以上且入库税收达200万元，最高奖励20万元。上述增幅需同口径比较，如企业财务年度经营业绩不足12个月的应折算为12个月进行比较。企业2020年开票销售收入、入库税收两项指标中任一项数值不为正值，不得申报。
"专精特新企业专利新产品类项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：近两年获省级以上认定（不包含复核通过）的专精特新中小企业（含2021年的省专精特新产品、小巨人企业），且2022年专利新产品开票销售首次突破1000万元（2021年专利新产品开票销售应低于1000万元）。2、奖励标准：按新产品开票销售额的2%给予奖励，最高不超过50万元。
"专精特新企业设备投入项目项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：2020年以来市级及以上认定（含复核通过）的专精特新中小企业（含专精特新小巨人企业），2022年企业在自动化、数字化、智能化改造升级的设备投入额在300万元-1000万元间（不含税，以发票时间为准），设备投入超过1000万元的企业不可申报。获得2022年度第一批省中小企业服务专项资金（设备购置类）的企业，如通过评审，届时相应扣除已发放的省资金部分。2、奖励标准：符合条件的企业，按照不超过设备投资额（不含税）的8%给予奖励，最高不超过80万元。
"诊断服务项目（节能专项）项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：第三方机构对列入年度节能诊断服务名单的本地企业免费提供节能诊断的，对列入年度绿色诊断服务名单的本地企业免费提供绿色诊断的。2、奖励标准：免费提供节能诊断的，结合专家评审结果等，以不超过3万元/户的标准给予分档奖励。免费提供绿色诊断的，结合专家评审等，以不超过6万元/户的标准给予分档奖励。对列入国家、省级年度诊断服务项目并享受省级及以上奖补资金的，按节能诊断不超过3万元/户、绿色诊断不超过6万元/户的标准进行补差。
"智改数转贷款贴息（金融支持制造业智改数转专项）项目中,泰州市的支持政策的具体内容是",1、申报主体另需符合以下特定条件：企业实施的智能化改造和数字化转型项目纳入市“智改数转”项目库，该项目获得金融机构发放的制造业企业智能化改造和数字化转型项目贷款。2、奖励标准：按年贷款额的1%给予贴息奖励，单个企业每年最高奖励额度不超过100万元。
"星级上云项目中,泰兴市的支持政策的名称是",《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日
"星级上云项目中,泰兴市的支持政策的具体内容是", 
"两化（深度）融合类示范试点项目中,泰州市的支持政策的具体内容是",当年创成国家、省级“两化融合”体系贯标（试点）企业，分别一次性奖励企业经营层5万元、3万元。创成“两化融合”五星级、四星级、三星级企业，一次性奖励企业经营层4万元、3万元、1万元；当年新增上云企业，一次性奖励企业经营层1万元。
"国家绿色工厂、绿色供应链项目中,泰州市的支持政策的具体内容是",一次性奖励企业经营层3万元
"专精特新和“小巨人”企业项目中,泰州市的支持政策的具体内容是",获认定的国家级、省级、市级科技小巨人企业或国家级、省级、市级中小企业“专、精、特、新”产品的，分别一次性奖励企业经营层5万元、4万元、3万元。
"星级上云项目中,高港区的支持政策的名称是",关于推进工业经济高质量发展的若干政策意见（试行）实施细则
"星级上云项目中,高港区的支持政策发布的时间是",2020年1月10日
"星级上云项目中,高港区的支持政策的具体内容是",同海陵区一致
"国家级、省级制造业单项冠军示范（培育）企业项目中,泰州市的支持政策的具体内容是",国家级、省级制造业单项冠军示范（培育）企业在市级奖补的基础上分别配套奖补25万元、10万元。（区发改委、工信局、科技局提供上级认定的文件或证书奖牌）；
"服务型制造示范（培育）企业项目中,泰州市的支持政策的具体内容是",服务型制造示范（培育）企业在市级奖补的基础上分别配套奖补25万元、10万元。（区发改委、工信局、科技局提供上级认定的文件或证书奖牌）；
"科技小巨人企业和专精特新产品项目中,泰州市的支持政策的具体内容是",对新获得国家、省认定的科技小巨人企业和专精特新产品分别奖补5万元、2万元。（区工信局提供工信部、省工信厅认定文件）；对当年认定为省级电子商务示范企业、省级“两化融合”示范企业、省两化深度融合创新（互联网与工业融合创新）示范工程企业以及通过“两化融合”贯标管理体系评审验收的企业，在市级奖补的基础上分别配套奖补5万元。（区工信局、商务局提供认定文件或证书）
"绿色工厂项目中,泰州市的支持政策的具体内容是",当年新认定为国家级、省级绿色工厂奖补10万元、5万元。（区工信局提供相关认定文件或证书奖牌）
"绿色供应链的企业项目中,泰州市的支持政策的具体内容是",当年新认定为国家级、省级绿色供应链的企业，奖补5万元、3万元。（区工信局提供相关认定文件或证书奖牌）
"“两化融合”示范企业项目中,泰州市的支持政策的具体内容是",在市级奖补的基础上配套奖补20万元
"星级上云项目中,海陵区的支持政策的名称是",泰州市海陵区人民政府 部门文件 区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知 (tzhl.gov.cn)
"星级上云项目中,海陵区的支持政策发布的时间是",2021年1月11日
"星级上云项目中,海陵区的支持政策的具体内容是",对当年新获省五星级、四星级、三星级“上云”企业，分别奖补20万元、10万元、5万元。
"两化（深度）融合类示范试点项目中,泰州市的支持政策的具体内容是",鼓励企业两化融合，对企业实施信息化改造，软件和配套硬件等投资达100万元及以上的，且软件投资占比不低于30%的项目（具体内容包括：软件、配套硬件和信息化系统改造提升、维护建设等费用；企业内参与项目建设和维护的人员工资等占总投入的比例不超过10%；两化融合咨询服务及教育培训等费用占总投入的比例不超过20%），按投资额的5%予以奖励，奖励最多不超过150万元。
"智能车间项目中,泰州市的支持政策的具体内容是",对当年新认定的国家、省示范智能车间，在市级奖补的基础上分别配套奖补10万元、5万元；
"单项冠军示范（培育）企业项目中,泰州市的支持政策的具体内容是",对当年获得国家级、省级制造业单项冠军示范（培育）企业在市级奖补的基础上分别配套奖补25万元、10万元。
"服务型制造示范（培育）企业项目中,泰州市的支持政策的具体内容是",对当年获得国家级、省级服务型制造示范（培育）企业在市级奖补的基础上分别配套奖补25万元、10万元。
"科技小巨人企业和专精特新产品项目中,泰州市的支持政策的具体内容是",对新获得国家、省认定的科技小巨人企业和专精特新产品分别奖补5万元、2万元。（区工信局提供工信部、省工信厅认定文件）；对当年认定为省级电子商务示范企业、省级“两化融合”示范企业、省两化深度融合创新（互联网与工业融合创新）示范工程企业以及通过“两化融合”贯标管理体系评审验收的企业，在市级奖补的基础上分别配套奖补5万元。（区工信局、商务局提供认定文件或证书）
"绿色工厂项目中,泰州市的支持政策的具体内容是",当年新认定为国家级、省级绿色工厂企业分别奖补10万元、5万元。
"绿色供应链企业项目中,泰州市的支持政策的具体内容是",当年新认定为国家级、省绿色供应链的企业，分别奖补5万元、3万元。
"技术改造项目中,兴化市的支持政策的名称是",兴化市工业经济、开放型经济奖励实施办法兴政发〔2021〕152号
"技术改造项目中,兴化市的支持政策的具体内容是",对规模以上工业企业实施的符合国家产业政策，已在政府投资主管部门备案（核准）的工业技改（除新建）项目予以奖补。企业当年申报设备投资额200-500万元的，按其设备投资额的5%予以奖补；投资额500-1000万元的，其中：200-500万元的部分，按其设备投资额的5%予以奖补；500-1000万元的部分，按其设备投资额的8%予以奖补；投资额1000万元及以上的，其中：200-500万元的部分，按其设备投资额的5%予以奖补；500-1000万元的部分，按其设备投资额的8%予以奖补；1000万元以上的部分，按其设备投资额的9%予以奖补。单个企业补助最高400万元
