Quary,Answer
南京市的名为星级上云的项目,政策包括：关于组织开展2022年度第二批省星级上云企业创建工作的通知。
南京市的名为江苏省智能制造示范工厂的项目,政策包括：关于开展2023年江苏省智能制造示范工厂申报工作的通知。
南京市的名为5G全连接工厂的项目,政策包括：关于做好2022年度5G全连接工厂申报工作的通知。
南京市的名为国家级服务型制造示范（包括示范企业、示范平台、示范项目）的项目,政策包括：《推进企业创新促进产业高质量发展政策实施细则》无需企业申报，市工业和信息化局根据新认定的企业名单，经审查合格后，会同市财政局给予资金支持。。
南京市的名为专项资金的项目,政策包括：关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知。
南京市的名为智能制造示范工厂项目的项目,政策包括：关于2022年南京市工业和信息化发展专项资金项目申报的通知。
南京市的名为智能制造示范车间项目的项目,政策包括：关于2022年南京市工业和信息化发展专项资金项目申报的通知。
南京市的名为工业互联网平台项目的项目,政策包括：关于2022年南京市工业和信息化发展专项资金项目申报的通知。
南京市的名为5G基站建设项目的项目,政策包括：关于2022年南京市工业和信息化发展专项资金项目申报的通知。
南京市的名为专精特新中小企业的项目,政策包括：关于印发《南京市推动专精特新中小企业高质量发展行动方案》《关于加快发展专精特新中小企业的若干措施》的通知（自2021年11月23日起施行）。
南京市的名为江苏省智能制造领军服务机构的项目,政策包括：关于开展2023年江苏省智能制造领军服务机构遴选推荐工作的通知。
南京市的名为第二批智能化改造和数字化转型服务商的项目,政策包括：关于征集南京市第二批智能化改造和数字化转型服务商的通知。
南京市的名为人工智能示范应用场景需求和典型应用案例的项目,政策包括：关于征集南京人工智能示范应用场景需求和典型应用案例的通知。
南京市的名为省规划布局内重点软件企业和专精特新软件企业的项目,政策包括：关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知。
南京市的名为江苏省智能制造领军服务机构的项目,政策包括：关于开展2023年江苏省智能制造领军服务机构遴选推荐工作的通知。
南京市的名为人工智能示范应用场景需求和典型应用案例的项目,政策包括：关于征集南京人工智能示范应用场景需求和典型应用案例的通知。
南京市的名为软件企业和专精特新软件企业培育入库工作的通知的项目,政策包括：关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知。
南京市的名为软件类关键核心技术攻关项目的项目,政策包括：关于组织2023年软件类关键核心技术攻关项目征集工作的通知。
南京市的名为省级绿色工厂省级绿色工业园区的项目,政策包括：关于开展第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作的通知（2023年4月26日）。
南京市的名为工业软件优秀产品及首版次工业软件产品应用试点项目的项目,政策包括：关于开展2023年工业软件优秀产品及首版次工业软件产品应用试点项目征集的通知（2023年4月23日）。《南京市工业企业重大设备技改项目奖补实施办法》。
南京市的名为专精特新的项目,政策包括：市政府办公厅关于加强“四上”企业培育工作的实施意见。
南京市的名为两化融合的项目,政策包括：《南京市全力促进经济持续回升向好若干政策措施》。
南京市-溧水区的名为星级上云的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为智能工厂、智能车间的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为两化（深度）融合类示范试点的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为专精特新产品/小巨人企业的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为单项冠军示范企业（产品）的项目,政策包括：《溧水区支持制造业高质量发展十条政策（试行）》此为试行政策，具体奖补信息暂未出台发布时间：2020年3月24日（2023年不在实施）。
南京市-溧水区的名为支持重大项目引进的项目,政策包括：溧水区支持制造业高质量发展政策(2023年)。
南京市-溧水区的名为支持产业联动发展的项目,政策包括：溧水区支持制造业高质量发展政策(2023年)。
南京市-溧水区的名为支持企业开拓创新的项目,政策包括：溧水区支持制造业高质量发展政策(2023年)。
南京市-溧水区的名为支持企业转型升级的项目,政策包括：溧水区支持制造业高质量发展政策(2023年)。
南京市-溧水区的名为支持企业扩大规模的项目,政策包括：溧水区支持制造业高质量发展政策(2023年)。
南京市-高淳区的名为技改项目的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为打造领军企业的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为支持打造一流品牌的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为星级上云的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为智能工厂、智能车间的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为两化（深度）融合类示范试点的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为工业互联网的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为服务型制造企业的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为互联网平台的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为5G+工业互联网的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-高淳区的名为绿色工厂的项目,政策包括：关于印发《高淳区精准支持企业与产业链发展若干意见》的通知http://www.njgc.gov.cn/gcqrmzf/202310/t20231008_4025475.html修订周期：每年修订一次。
南京市-鼓楼区的名为知识产权的项目,政策包括：http://www.njgl.gov.cn/glqrmzf/202306/t20230630_3951254.html区政府关于印发鼓楼区知识产权战略专项资金管理办法的通知。
南京市-鼓楼区的名为支持外贸企业的项目,政策包括：http://www.njgl.gov.cn/glzx/202307/t20230721_3967763.html鼓楼区专项政策、专项资金推动外贸高质量发展。
南京市-鼓楼区的名为标杆工厂、智能工厂、智能车间的项目,政策包括：“智改数转”专项资金管理办法-南京鼓楼区.pdf发布日期：2022年7月7日。
南京市-鼓楼区的名为星级上云的项目,政策包括：“智改数转”专项资金管理办法-南京鼓楼区.pdf发布日期：2022年7月7日。
南京市-鼓楼区的名为工业软件APP的项目,政策包括：“智改数转”专项资金管理办法-南京鼓楼区.pdf发布日期：2022年7月7日。
南京市-鼓楼区的名为两化融合培育企业的项目,政策包括：“智改数转”专项资金管理办法-南京鼓楼区.pdf发布日期：2022年7月7日。
南京市-鼓楼区的名为两化融合管理体系AAA级贯标的项目,政策包括：“智改数转”专项资金管理办法-南京鼓楼区.pdf发布日期：2022年7月7日。
南京市-江宁区的名为5g工厂、智能车间、智能工厂、标杆工厂、两化融合的项目,政策包括：江宁区促进经济持续回升向好若干政策措施(2023-2025)。
南京市-江宁区的名为专精特新的项目,政策包括：江宁区关于强化投资促进推动制造业高质量发展政策措施。
南京市-江宁区的名为技改的项目,政策包括：江宁区关于强化投资促进推动制造业高质量发展政策措施。
南京市-江宁区的名为市级标杆应用场景的项目,政策包括：江宁区关于强化投资促进推动制造业高质量发展政策措施。
南京-江宁开发区的名为专精特新的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-浦口区、江北新区的名为支持企业信息化能力提升（星级上云与两化融合方面）的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-浦口区、江北新区的名为支持企业智能化方向发展（工业设计及首台套方面进行奖励）的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-浦口区、江北新区的名为支持产业绿色低碳化发展的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-浦口区、江北新区的名为支持产业高端示范化建设（技改投入等方面进行补贴）的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-栖霞区的名为星级上云的项目,政策包括：《江宁开发区专精特新企业高质量发展专项激励政策（专精特新八条）》依据《关于加快发展专精特新中小企业的若干措施》（宁政办发〔2021〕61号）。
南京市-栖霞区的名为专精特新的项目,政策包括：《栖霞区深入推进引领性国家创新型城市建设的若干政策措施》。
南京市-秦淮区的名为新落户的项目,政策包括：《关于推进重点特色产业发展的若干政策举措（试行）》秦委发〔2022〕55号。
南京市-秦淮区的名为资质认证扶持的项目,政策包括：《关于推进重点特色产业发展的若干政策举措（试行）》秦委发〔2022〕55号。
南京市-秦淮区的名为规模提升扶持的项目,政策包括：《关于推进重点特色产业发展的若干政策举措（试行）》秦委发〔2022〕55号。
南京市-秦淮区的名为星级上云的项目,政策包括：《关于推进重点特色产业发展的若干政策举措（试行）》秦委发〔2022〕55号。
