Quary,Answer
"智能制造示范车间项目中,无锡市的支持政策的名称是",《转发省工业和信息化厅关于做好2023年省级智能制造示范车间申报工作的通知》
"智能制造示范车间项目中,无锡市的支持政策发布的时间是",2023年6月26日
"智能制造示范车间项目中,无锡市的支持政策的具体内容是", 现将省工业和信息化厅《关于做好2023年省级智能制造示范车间申报工作的通知》（苏工信投资〔2023〕241号）转发给你们，请按照通知要求，组织企业认真对照申报条件，按申报目标进行申报（见附件），并对申报材料严格审核把关后于7月14日（星期五）前，将请示文件、申报汇总表、审核情况表以及工业资源利用绩效评价结果（均盖章，一式一份），智能制造示范车间申请表、企业营业执照复印件和真实性承诺书（均盖章、胶装，一式三份），会同企业信用报告、工业企业工业控制系统信息安全承诺书（均盖章、一式一份），报送至市工业和信息化局智能制造推进处，所有申报材料电子文档一并上报。    联系人：王阿红，联系电话：81821741，电子邮箱：wxjxwqxc@163.com。
"星级上云项目中,无锡市的支持政策的名称是",《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》
"星级上云项目中,无锡市的支持政策发布的时间是",2023年5月9日
"星级上云项目中,无锡市的支持政策的具体内容是",1.对获评省五星级上云企业的企业给予最高50万元的一次性奖励；
"智能工厂、智能车间项目中,无锡市的支持政策的具体内容是",2.对获得工信部智能制造示范工厂、智能车间等国家级智能制造领域相关荣誉的企业，给予最高100万元的一次性奖励；
"互联网标杆工厂项目中,无锡市的支持政策的具体内容是",3.对获得工信部工业互联网创新发展工程项目且建成验收通过的企业和获得省级智能工厂、工业互联网标杆工厂、领军服务机构等省级智能制造和工业互联网领域相关荣誉的企业，给予最高100万元的一次性奖励；
"互联网平台试点、互联网平台项目中,无锡市的支持政策的具体内容是",4.对获得工信部工业互联网平台试点示范、省级重点工业互联网平台的企业，给予最高100万元的一次性奖励。
"两化（深度）融合类示范试点项目中,无锡市的支持政策的具体内容是",5.对技术和服务投资额50万元以上的企业两化融合项目，按照不超过其项目技术和服务投资额的10%最高100万元。
"服务型制造示范企业项目中,无锡市的支持政策的具体内容是",6.对列入省级及以上的服务型制造示范企业（平台），按照服务项目投入的10%给予奖励，最高100万元。
"智能化改造项目中,无锡市的支持政策的名称是",《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》
"智能化改造项目中,无锡市的支持政策发布的时间是",2022年3月30日
"智能化改造项目中,无锡市的支持政策的具体内容是",1.技术和设备投资额300万元以上的智能制造示范项目择优给予补助，不超过其投资额的10%，最高1000万元。2.技术和服务投资额50万元以上的企业两化融合项目择优给予补助，不超过其投资额的10%，最高100万元。3.新一代信息技术应用示范项目分档择优给予一次性奖励，最高300万元。
"绿色化提升项目中,无锡市的支持政策的具体内容是",4.年节能量达到200吨标准煤的节能改造项目和节能量达到5O吨标准煤的合同能源管理项目，每吨标准煤奖励最高500元，单个项目最高200万元。5.节能环保和可再生能源技术（产品)推广项目智慧化能源监测管理项目，节水、节材、废弃物资源化、再制造等资源综合利用项目清洁生产、循环经济等碳中和项目，不超过其投资额的10%，单个项目最高200万元。6.淘汰落后用能设备、节能信息服务、节能基础管理等绿色制造支撑能力建设项目，按照具体成效分档择优给予补助，最高100万元。
"标杆工厂项目中,无锡市的支持政策的具体内容是",7.获得工信部智能制造示范工厂、智能制造优秀等国家级智能制造领域相关荣誉的企业，给予最高100万元的一次性奖励。8.获得工信部智能制造新模式应用项目、工业互联网创新发展工程项目且建成验收通过后的企业获得省级智能工厂、工业互联网标杆工厂、智能车间、领军服务机构等省级智能制造和工业互联网领域相关荣誉的企业给予最高100万元的一次性奖励。9.获得“灯塔工厂”的企业给予最高200万元的一次性奖励。
"工业互联网平台项目中,无锡市的支持政策的具体内容是",10.获得工信部工业互联网平台试点示范、省级重点工业互联网平台的企业给予最高100万元的一次性奖励。11.完成与国家顶级节点对接的二级节点的企业类建设单位择优给予最高200万元的一次性奖励。
"星级上云项目中,无锡市的支持政策的具体内容是",12.获评省五星级上云企业的企业给予最高50万元的一次性奖励，每年分档择优评选优秀星级上云服务商给予最高100万元的一次性奖励。
"专精特新中小企业项目中,无锡市的支持政策的名称是",《市政府办公室关于印发无锡市促进“专精特新”中小企业高质量发展若干政策的通知》、《无锡市为专精特新“小巨人”企业办实事清单》（有效期至2025年12月31日）
"专精特新中小企业项目中,无锡市的支持政策发布的时间是",2022年12月1日
"专精特新中小企业项目中,无锡市的支持政策的具体内容是",对于首次获评国家专精特新“小巨人”企业、省“专精特新”中小企业的，市财政分别给予50万元、30万元的一次性奖励；对通过复审的国家专精特新“小巨人”企业、省“专精特新”中小企业，市财政分别给予30万元、20万元的一次性奖励；对外地迁入的国家专精特新“小巨人”企业、省“专精特新”中小企业，迁入当年视作首次获评进行奖励。
"星级上云项目中,无锡市-江阴市的支持政策的名称是",《关于大力推进产业强市建设构建现代产业体系的若干政策意见》
"星级上云项目中,无锡市-江阴市的支持政策发布的时间是",2021年4月30日
"星级上云项目中,无锡市-江阴市的支持政策的具体内容是",1.当年度获评省五星级、四星级和三星级“上云”企业，分别一次性给予最高30万元、10万元和5万元奖励。
"智能工厂、智能车间项目中,无锡市的支持政策的具体内容是",2.当年获评省示范智能车间的，一次性给予最高80万元奖励
"两化（深度）融合类示范试点项目中,无锡市的支持政策的具体内容是",3.当年获评国家级两化融合管理体系贯标示范、试点的企业，一次性给予最高50万元、25万元奖励；列入省两化融合贯标试点的企业，当年首次通过国家两化融合管理体系贯标认定，一次性给予最高15万元奖励。
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）项目中,无锡市的支持政策的具体内容是",4.当年获评国家级、省级工业互联网创牌类项目的企业，一次性给予最高200万元、50万元奖励（含：试点示范类项目、试点示范平台、标杆工厂、制造业“双创”平台）；当年获评省级工业互联网发展示范企业（工厂类）的企业一次性给予最高100万元奖励。
