Quary,Answer
句容市的名为星级上云的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为智能工厂、智能车间的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为两化（深度）融合类示范试点的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为单项冠军示范（培育）企业的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为服务型制造示范企业的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为专精特新小巨人企业的项目,政策包括：《关于组织开展2022首批星级上云企业创建工作的通知》。
句容市的名为星级上云的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为智能工厂、智能车间的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为两化（深度）融合类示范试点的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为单项冠军示范（培育）企业的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为服务型制造示范企业的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
句容市的名为专精特新小巨人企业的项目,政策包括：《句容市关于推进产业强市加快实体经济发展的若干政策意见》。
镇江市的名为星级上云的项目,政策包括：关于支持制造业智能化改造和数字化转型的若干政策措施。
镇江市的名为智能车间的项目,政策包括：关于支持制造业智能化改造和数字化转型的若干政策措施。
镇江市的名为两化融合贯标的项目,政策包括：关于支持制造业智能化改造和数字化转型的若干政策措施。
镇江市的名为工业互联网平台、工业互联网标杆工厂的项目,政策包括：关于支持制造业智能化改造和数字化转型的若干政策措施。
镇江市的名为“双跨”平台的项目,政策包括：关于支持制造业智能化改造和数字化转型的若干政策措施。
镇江市的名为星级上云的项目,政策包括：关于组织开展2022年度第二批省星级上云企业创建工作的通知（市工信局）。
