Quary,Answer
无锡市的名为智能制造示范车间的项目,政策包括：《转发省工业和信息化厅关于做好2023年省级智能制造示范车间申报工作的通知》。
无锡市的名为星级上云的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为智能工厂、智能车间的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为互联网标杆工厂的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为互联网平台试点、互联网平台的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为两化（深度）融合类示范试点的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为服务型制造示范企业的项目,政策包括：《关于发布2023年度无锡市工业转型升级资金项目指南及组织项目申报的通知》。
无锡市的名为智能化改造的项目,政策包括：《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》。
无锡市的名为绿色化提升的项目,政策包括：《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》。
无锡市的名为标杆工厂的项目,政策包括：《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》。
无锡市的名为工业互联网平台的项目,政策包括：《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》。
无锡市的名为星级上云的项目,政策包括：《无锡市加快智能化改造数字化转型绿色化提升若干政策措施》。
无锡市的名为专精特新中小企业的项目,政策包括：《市政府办公室关于印发无锡市促进“专精特新”中小企业高质量发展若干政策的通知》、《无锡市为专精特新“小巨人”企业办实事清单》（有效期至2025年12月31日）。
无锡市-江阴市的名为星级上云的项目,政策包括：《关于大力推进产业强市建设构建现代产业体系的若干政策意见》。
无锡市-江阴市的名为智能工厂、智能车间的项目,政策包括：《关于大力推进产业强市建设构建现代产业体系的若干政策意见》。
无锡市-江阴市的名为两化（深度）融合类示范试点的项目,政策包括：《关于大力推进产业强市建设构建现代产业体系的若干政策意见》。
