Quary,Answer
扬州市的名为星级上云的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为工业互联网平台、工业互联网标杆工厂及智能工厂的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为省首台（套）重大装备认定及推广的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为工业互联网建设的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为两化融合管理体系贯标的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为智能化改造的项目,政策包括：《关于加快推进制造业智能化改造和数字化转型的实施意见》。
扬州市的名为市智能制造示范工厂的项目,政策包括：《关于开展2023年度扬州市智能制造示范工厂申报工作的通知》。
扬州市的名为市级中小企业公共服务示范平台认定的项目,政策包括：关于开展2023年度市级中小企业公共服务示范平台认定工作的通知。
扬州市的名为星级上云的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。
扬州市的名为工业互联网平台、工业互联网标杆工厂及智能工厂的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。
扬州市的名为省首台(套)重大装备认定及推广的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。
扬州市的名为工业互联网建设的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。
扬州市的名为两化融合管理体系贯标的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。
扬州市的名为智能化改造的项目,政策包括：《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》。《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
扬州市的名为工业互联网建设的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
扬州市的名为智能装备研制推广的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
扬州市的名为智能工厂、标杆工厂的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
扬州市的名为领军服务商培育的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
扬州市的名为园区数字化转型的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。
仪征市的名为星级上云的项目,政策包括：《2022年度市级智能化改造和数字化转型专项资金项目申报指南》。《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知。
仪征市的名为智能化改造的项目,政策包括：《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知。
仪征市的名为智能工厂、智能车间的项目,政策包括：《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知。
仪征市的名为两化融合管理体系（升级版）贯标的项目,政策包括：《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知。
仪征市的名为工业互联网平台的项目,政策包括：《仪征市制造业智能化改造和数字化转型行动计划（2022-2024年）》的通知。
