Quary,Answer
《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》的项目。,"支持政策发布时间是2023年1月29日。其项目中,单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业;其支持政策的具体内容是分别奖励100万元、100万元、30万元。其项目中,单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业;其支持政策的具体内容是分别奖励100万元、100万元、30万元。"
关于组织申报2022年度盐城市市本级先进制造业发展专项资金项目的通知的项目。,"支持政策发布时间是2022年1月30日。其项目中,星级上云;其支持政策的具体内容是对首次被评为省五星、四星级上云企业，分别给予50万元、20万元一次性奖励。。"
关于《盐城市规模以上工业企业智能化改造和数字化转型三年行动计划（2022-2024年）》起草情况说明的项目。,"支持政策发布时间是2022年1月30日。其项目中,工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）;其支持政策的具体内容是7.对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。。"
《关于组织2023年度盐城市市本级工业强市（先进制造业发展）专项资金项目入库的通知》的项目。,"支持政策发布时间是2023年3月14日。其项目中,市本级工业强市（先进制造业发展）专项资金项目;其支持政策的具体内容是7.对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业技术改造;其支持政策的具体内容是年度设备投资额500万元以上的企业技术改造项目(安全环保技术改造项目投资额300万元以上)，按实际设备投资额的5%给予奖励；在市企业“争星创优”活动中，被认定为三星、四星、五星和突出贡献奖的企业，分别按实际设备投资额的6%、7%、8%和9%给予奖励。属于重点产业链的项目，奖励额度在以上奖励基础上提高2个百分点。最高不超过500万元。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,智改数转;其支持政策的具体内容是2022年、2023年、2024年分别按照项目年度投资额的12%、11%、10%给予补助，单个项目最高不超过500万元。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,智改数转;其支持政策的具体内容是给予20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,新招引产业项目;其支持政策的具体内容是各地结合招商引资政策兑现奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,工业新增长点培育;其支持政策的具体内容是按年度新增应税开票销售10亿元以上、5亿元-10亿元、3亿元-5亿元，分别给予100万元、50万元、30万元奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,优质企业集群培育;其支持政策的具体内容是给予300万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,优质企业集群培育;其支持政策的具体内容是给予100万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,优质企业集群培育;其支持政策的具体内容是分别给予500万元、200万元、100万元、50万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,优质企业集群培育;其支持政策的具体内容是每家企业奖励5万元或按照企业当年对地方贡献增量部分50%给予奖补，最高不超过10万元。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,规范认证项目;其支持政策的具体内容是给予50万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,规范认证项目;其支持政策的具体内容是给予500万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,总部迁入发展;其支持政策的具体内容是当年起连续三年按照对地方贡献增加部分(上年度超过前两年度均值部分)的30%、20%、10%进行奖励，最高不超过500万元。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业兼并重组;其支持政策的具体内容是并购企业对目标企业的实际出资额折合人民币5000万元以上，且并购方占股比例在50%以上，对兼并重组后的企业按实际出资额的4%给予一次性奖励，最高不超过企业申报年度对地方贡献，且不超过500万元。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业兼并重组;其支持政策的具体内容是并购企业对目标企业的实际出资额折合人民币2000万元以上，且并购方占股比例在50%以上，对兼并重组后的企业按实际出资额的2%给予一次性奖励，最高不超过企业申报年度对地方贡献，且不超过200万元。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是分别给予100万元、100万元、30万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是给予50万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是分别给予100万元、20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是给予50万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是给予20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业创新发展;其支持政策的具体内容是分别给予500万元、200万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,产业链配套协作;其支持政策的具体内容是按本地采购额比上年新增部分的2%给予采购单位奖补，最高不超过200万元。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业推广应用新产品;其支持政策的具体内容是市财政按投保年度实际支付保费的80%进行补贴。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,企业推广应用新产品;其支持政策的具体内容是对列入优秀示范应用场景的项目按照评价结果，分别给予100万、80万、50万元的奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,公共服务能力提升;其支持政策的具体内容是根据第三方服务绩效评估，给予不超过20万元奖励。。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,公共服务能力提升;其支持政策的具体内容是分别给予50万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,公共服务能力提升;其支持政策的具体内容是给予20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,公共服务能力提升;其支持政策的具体内容是给予20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,服务型制造;其支持政策的具体内容是分别给予50万元、20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,服务型制造;其支持政策的具体内容是分别给予50万元、20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,服务型制造;其支持政策的具体内容是分别给予50万元、20万元一次性奖励。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,新车型研发销售;其支持政策的具体内容是给予500万元一次性奖励(上市月度起单月平均销售5000台以上，按比例折算给予一次性奖励)。"
《盐城市先进制造业发展办法》的项目。,"支持政策发布时间是2023年3月24日。其项目中,新车型研发销售;其支持政策的具体内容是给予300万元一次性奖励。"
