Quary,Answer
"单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业,盐城市的支持政策发布的时间是",2023年1月29日
"单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业,盐城市的支持政策的名称是",《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》
"单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业,盐城市的支持政策的具体内容是",分别奖励100万元、100万元、30万元
"星级上云,盐城市的支持政策发布的时间是",2022年1月30日
"星级上云,盐城市的支持政策的名称是","关于组织申报2022年度盐城市市本级先进制造业发展专项资金项目的通知,关于《盐城市规模以上工业企业智能化改造和数字化转型三年行动计划（2022-2024年）》起草情况说明"
"星级上云,盐城市的支持政策的具体内容是",对首次被评为省五星、四星级上云企业，分别给予50万元、20万元一次性奖励。对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）,盐城市的支持政策的名称是",关于《盐城市规模以上工业企业智能化改造和数字化转型三年行动计划（2022-2024年）》起草情况说明
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）,盐城市的支持政策的具体内容是",7.对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。
"市本级工业强市（先进制造业发展）专项资金项目,盐城市的支持政策发布的时间是",2023年3月14日
"市本级工业强市（先进制造业发展）专项资金项目,盐城市的支持政策的名称是",《关于组织2023年度盐城市市本级工业强市（先进制造业发展）专项资金项目入库的通知》
" 企业技术改造,盐城市的支持政策发布的时间是",2023年3月24日
" 企业技术改造,盐城市的支持政策的名称是",《盐城市先进制造业发展办法》
" 企业技术改造,盐城市的支持政策的具体内容是",年度设备投资额 500 万元以上的企业技术改造项目(安全环保技术改造项目投资额 300 万元以上 ) ，按实际设备投资额的 5%给予奖励；在市企业“争星创优” 活动中，被认定为三星、四星 、五星和突出贡献奖的企业，分别按实际设备投资额的6% 、7% 、8%和 9%给予奖励。属于重点产业链的项目，奖励额度在以上奖励基础上提高2个百分点。最高不超过 500 万元。
"智改数转 ,盐城市的支持政策的包含的企业范围是",年度智能化设备及工业软件等有 效投入500万元以上的“ 智能化改造数字化转型”项目，年度设备投资额300 万元以上的创新型中小企业、省级专精特新中小企业及国家 级专精特新“小巨人”企业 
"智改数转 ,盐城市的支持政策的具体内容是",2022年、2023年 、2024 年分别按照项目年度投资额的12% 、11% 、10% 给予补助，单个项目最高不超过 500 万元 。给予 20 万元 一次性奖励，给予 20 万元 一次性奖励
"新招引产业项目,盐城市的支持政策的包含的企业范围是",新能源汽车及核心零部件、新能源、新一代信息技术、新材料、大健康产业和数字经济、海洋经济产业及23条重点产业链新招引项目 
"新招引产业项目,盐城市的支持政策的具体内容是",各地结合招商引资政策兑现奖励
