Quary,Answer
"星级上云项目中,常州市的支持政策的名称是",市工信局关于做好2022年首批星级上云企业申报工作的通知 (changzhou.gov.cn)
"星级上云项目中,常州市的支持政策发布的时间是",2022年2月10日
"星级上云项目中,常州市的支持政策的申报时间和方式是",2022年2月28日-2022年4月11日（其中，五星级的申报截止日期为2022年4月25日）线上：江苏省工业互联网示范企业公共服务平台（简称：苏工服平台，www.dxplat.com）将于2022年2月28日开通申报。请各申报企业按照要求在平台填报申报信息，并严格按照星级上云企业申报要求如实在平台上传项目申报电子版材料（附件2、3、4）
"星级上云项目中,常州市的支持政策发布的第二个文件名是",《关于推进高质量工业智造明星城建设的若干政策》2021年3月23日
"星级上云项目中,常州市的支持政策发布的第二个文件名是",《关于推进高质量工业智造明星城建设的若干政策》2021年3月23日
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）项目中,常州市的支持政策的名称是",关于组织申报2021年常州市工业互联网专项资金的通知
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）项目中,常州市的支持政策发布的时间是",2021年5月28日
"工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）项目中,常州市的支持政策的申报时间和方式是",1．线上申报：申报单位登录“常州市创新创业服务平台”（网址：http://www.czcycx.com/），点击“政策服务”版块，选择对应申报项目进行申报，上传相关资料。上传资料应与线下申报资料一致。2．线下申报：书面材料须以辖市（区）为单位，由辖市（区）工信部门统一汇总后报送至常州市创新创业服务平台窗口（常州市政务服务中心1-2号三楼D1窗口）。企业书面申报和网上申报时间为2021年5月8日-2020年5月31日
"智能工厂、项目中,常州市的支持政策的名称是",关于组织申报2021年工业高质量发展专项资金项目的通知
"智能工厂、项目中,常州市的支持政策发布的时间是",2021年5月12日
"专精特新“小巨人”企业项目中,常州市的支持政策的名称是",市工信局关于组织申报2022年度常州市“专精特新”中小企业的通知 (changzhou.gov.cn)
"专精特新“小巨人”企业项目中,常州市的支持政策发布的时间是",2022年2月10日
"专精特新“小巨人”企业项目中,常州市的支持政策的申报时间和方式是",2022年2月10日-2022年3月15日线下：申报企业如实填写《2022年度常州市“专精特新”中小企业申请书》（见附件1），和相关佐证材料（见附件2）一起装订成册（含目录和索引页），并提交至辖市（区）工信部门初审
"专精特新“小巨人”企业项目中,常州市的支持政策的名称是",关于印发《关于推进高质量工业智造明星城建设的若干政策》的通知
"专精特新“小巨人”企业项目中,常州市的支持政策发布的时间是",2021年3月23日
"专精特新中小企业项目中,常州市的支持政策的名称是",《关于组织申报2023年度常州市专精特新中小企业的通知》
"专精特新中小企业项目中,常州市的支持政策发布的时间是",2023年6月2日
"专精特新中小企业项目中,常州市的支持政策的申报时间和方式是",   二、申报流程       （一）申报企业如实填写《2023年度常州市专精特新中小企业申报书》（附件1）和佐证材料（参考附件2）一起装订成册，于6月30日前报送至辖市（区）工信部门初审（咨询方式附后）。       （二）各地工信部门严格把关，重点审核企业规模、产品市场占有率、独立法人地位以及有无环境、质量、安全等方面违法记录等，对照《常州市专精特新中小企业评价标准》（附件4）对企业申报材料进行初审，提出审核意见。各辖市（区）工信部门于7月12日前将推荐行文及推荐汇总表（纸质1份，excel电子版）、企业申报材料（纸质1份）报市工信局中小企业促进处。企业纸质申报材料请按推荐汇总表顺序在左上角标写序号，并按序整理。
"专精特新中小企业项目中,常州市的第二个支持政策的名称是",《关于组织申报2022年度常州市中小微企业发展专项资金项目的通知》
"专精特新中小企业项目中,常州市的第二个支持政策发布的时间是",2022年7月22日
"专精特新中小企业项目中,常州市的第二个支持政策的申报时间和方式是",按不超过企业2021年度购置设备投入（不含税金额）的2%予以补助，最高不超过100万元。
"省规划布局内重点软件企业和专精特新软件企业培育入库项目中,常州市的支持政策的名称是",关于转发《江苏省工信厅关于开展2023年省规划布局内重点软件企业和专精特新软件企业培育入库工作的通知》的通知
"省规划布局内重点软件企业和专精特新软件企业培育入库项目中,常州市的支持政策发布的时间是",2023年3月30日
"省规划布局内重点软件企业和专精特新软件企业培育入库项目中,常州市的支持政策的申报时间和方式是",要广泛发动，重点企业点对点通知，做好初审把关工作，并填写《2023年江苏省规划布局内重点软件企业培育推荐名单》及《2023年江苏省专精特新软件企业培育推荐名单》（见苏工信软件〔2023〕119号附件1，2），加盖公章，同企业评估纸质材料（1份），于6月30日前报我处，电子版发邮箱。
"市智能制造示范区项目中,常州市的支持政策的名称是",关于组织申报2023年常州市智能制造示范区的通知
"市智能制造示范区项目中,常州市的支持政策发布的时间是",2023年3月20日
