Quary,Answer
苏州市的名为星级上云的项目,政策包括：《苏州市推进制造业智能化改造、数字化转型措施》。
苏州市的名为智能工厂、智能车间的项目,政策包括：《苏州市推进制造业智能化改造、数字化转型措施》。
苏州市的名为“5G+工业互联网”的项目,政策包括：《苏州市推进制造业智能化改造、数字化转型措施》。
苏州市的名为标识解析二级节点的项目,政策包括：《苏州市推进制造业智能化改造、数字化转型措施》。
苏州市的名为市级示范智能车间的项目,政策包括：关于做好2022年市级示范智能车间申报工作的通知。
苏州市的名为专精特新“小巨人”企业的项目,政策包括：2022年度扬州市中小企业发展专项资金项目申报指南。
苏州市的名为2022先进制造业基地专项资金的项目,政策包括：同去年。
苏州市的名为市重点软件企业复评及2023年度入库的项目,政策包括：关于开展苏州市重点软件企业复评及2023年度入库工作的通知。
苏州市的名为市“近零碳”工厂（第二批）入库培育的项目,政策包括：2023年度苏州市“近零碳”工厂（第二批）入库培育工作开始。
苏州市的名为省级绿色工厂省级绿色工业园区的项目,政策包括：第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作开始。
苏州市的名为工业产品绿色设计示范企业的项目,政策包括：工信部第五批工业产品绿色设计示范企业推荐工作开始。
苏州市的名为服务型制造示范的项目,政策包括：关于组织开展2023年度苏州市服务型制造示范遴选工作的通知。
苏州市的名为省级中小企业公共服务示范平台认定推荐的项目,政策包括：关于转发省工信厅《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》的通知。
苏州市的名为2023年苏州市级智能工厂申报的项目,政策包括：关于转发省工信厅《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》的通知。
苏州市-太湖新城的名为智能车间、智能工厂的项目,政策包括：关于印发《东太湖度假区（太湖新城）加快企业高质量发展扶持奖励办法（修订）》的通知。
苏州市-太湖新城的名为两化融合的项目,政策包括：关于印发《东太湖度假区（太湖新城）加快企业高质量发展扶持奖励办法（修订）》的通知。
苏州市-太湖新城的名为工业互联网的项目,政策包括：关于印发《东太湖度假区（太湖新城）加快企业高质量发展扶持奖励办法（修订）》的通知。
苏州市-太湖新城的名为企业上云的项目,政策包括：关于印发《东太湖度假区（太湖新城）加快企业高质量发展扶持奖励办法（修订）》的通知。
苏州市-吴江区的名为星级上云的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为智能工厂、智能车间的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为两化（深度）融合类示范试点的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为服务型制造示范企业的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为专精特新小巨人、单项冠军的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-吴江区的名为5G建设与应用的项目,政策包括：《苏州市吴江区高质量发展政策》发布时间：2021年1月20日。
苏州市-相城区的名为星级上云的项目,政策包括：《2022年度苏州市相城区工业经济高质量发展专项资金项目》2022年4月。
苏州市-相城区的名为智能工厂、智能车间、智能化改造的项目,政策包括：《2022年度苏州市相城区工业经济高质量发展专项资金项目》2022年4月。
苏州市-相城区的名为两化融合管理体系贯标示范企业的项目,政策包括：《2022年度苏州市相城区工业经济高质量发展专项资金项目》2022年4月。
苏州市-相城区的名为绿色工厂、绿色供应链管理示范企业的项目,政策包括：《2022年度苏州市相城区工业经济高质量发展专项资金项目》2022年4月。
苏州市-相城区的名为单项冠军、专精特新中小企业的项目,政策包括：《相城区工业经济高质量发展若干扶持政策（试行）》。
苏州市-高新区的名为星级上云的项目,政策包括：《苏州高新区工业高质量发展扶持政策》政策有效期至：2022年12月31日。
苏州市-高新区的名为智能工厂、智能车间的项目,政策包括：《苏州高新区关于加快发展智能制造促进高质量发展的若干意见》政策有效期至：2022年12月31日。
苏州市-高新区的名为两化（深度）融合类示范试点的项目,政策包括：《苏州高新区工业高质量发展扶持政策》政策有效期至：2022年12月31日。
苏州市-高新区的名为工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目,政策包括：《苏州高新区工业高质量发展扶持政策》政策有效期至：2022年12月31日。
苏州市-高新区的名为小巨人企业（专精特新产品）的项目,政策包括：《关于印发苏州高新区工业高质量发展扶持政策的通知》。
苏州市-高新区的名为单项冠军的项目,政策包括：《关于印发苏州高新区工业高质量发展扶持政策的通知》。
苏州市-吴中区的名为星级上云的项目,政策包括：《关于促进吴中区工业经济高质量发展若干政策措施意见》有效期：2021年5月1日至2023年12月31日。
苏州市-吴中区的名为两化（深度）融合类示范试点的项目,政策包括：《关于促进吴中区工业经济高质量发展若干政策措施意见》有效期：2021年5月1日至2023年12月31日。
