Quary,Answer
国家的支持政策文件有哪些？,工业设备网络化“5G+工业互联网”。跨行业跨领域综合型工业互联网平台。重点行业和区域的特色型工业互联网平台。特定技术领域的专业型工业互联网平台。工业设备和业务系统上云上平台。平台应用服务。工业互联网公共服务平台。平台技术供给质量。“工业互联网+安全生产”。网络安全。智能化制造。工业互联网大数据中心。高质量工业APP。平台间数据互联互通。
工业设备网络化的项目,网络的支持政策发布时间是2021年。其政策名称是1、工业和信息化部办公厅关于开展2021年度国家新型工业化产业示范基地申报工作的通知国家新型工业化产业示范基地申报条件.pdf，其具体内容是1、支持工业企业对工业现场“哑设备”进行网络互联能力改造，支撑多元工业数据采集。2、提升异构工业网络互通能力，推动工业设备跨协议互通。，其目标是支持地方和龙头企业建设10个工业互联网园区网络，开展面向龙头企业和中小企业的网络互联试点示范。。
“5G+工业互联网”的项目,网络的支持政策发布时间是2020年、2021年。其政策名称是1、两部门关于组织开展5G+医疗健康应用试点项目申报工作的通知2、“5G+工业互联网”十个典型应用场景和五个重点行业实践3、“5G+工业互联网”512工程推进方案.docx，其具体内容是1、支持工业企业建设5G全连接工厂，推动5G应用从外围辅助环节向核心生产环节渗透，加快典型场景推广。2、探索5G专网建设及运营模式，规划5G工业互联网专用频率，开展工业5G专网试点。3、建设公共服务平台，提供5G网络化改造、应用孵化、测试验证等服务。，其目标是到2023年，建成8个“5G+工业互联网”公共服务平台。。
跨行业跨领域综合型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是打造具有国际影响力的工业互联网平台，深化工业资源要素集聚，加速生产方式和产业形态创新变革。，其目标是打造3～5家有国际影响力的综合型工业互联网平台。
重点行业和区域的特色型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是1、聚焦数字基础好、带动效应强的重点行业，打造行业特色工业互联网平台，推动行业知识经验在平台沉淀集聚。2、面向制造资源集聚程度高、产业转型需求迫切的区域，打造区域特色工业互联网平台，推动平台在“块状经济”产业集聚区落地。，其目标是70个行业区域特色平台。
特定技术领域的专业型工业互联网平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、关于组织开展2021年新一代信息技术与制造业融合发展试点示范工作的通知2021年新一代信息技术与制造业融合发展试点示范实施方案.doc，其具体内容是围绕特定工业场景和前沿信息技术，建设技术专业型工业互联网平台，推动前沿技术与工业机理模型融合创新，支撑构建数据驱动、软件定义、平台支撑、服务增值、智能主导的新型制造体系。，其目标是70个行业区域特色平台。
工业设备和业务系统上云上平台的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是1、培育设备上云公共服务平台，推动行业龙头企业核心业务系统云化改造，带动产业链上下游中小企业业务系统云端迁移。2、鼓励地方政府通过创新券、服务券等方式降低上云门槛和成本，创新“挖掘机指数”“空压机指数”等新型经济运行指标。，其目标是面向发展基础良好的特定区域，支持建设20家区域一体化平台，加速区域产业资源共享和设备上云。
平台应用服务的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是开发和推广平台化、组件化的工业互联网行业系统解决方案，培育解决方案服务商，建立平台解决方案资源池和分类目录，开展服务商能力评价。，其目标是打造一批“平台+产品”“平台+模式”“平台+行业/区域”创新解决方案。
工业互联网公共服务平台的项目,平台的支持政策发布时间是2021年。其政策名称是1、工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号工业和信息化部办公厅关于组织推荐2021年度国家中小企业公共服务示范平台的通知工信厅企业函〔2021〕90号，其具体内容是1、提供工业互联网产业发展、供应商能力分级、企业评估等综合服务2、汇集供应商资源与企业需求，促进精准对接。，其目标是打造一批“平台+产品”“平台+模式”“平台+行业/区域”创新解决方案。
平台技术供给质量的项目,平台的支持政策发布时间是2021年。其政策名称是附件：工业互联网创新发展行动计划（2021-2023年）.doc，其具体内容是1、加强平台设备接入、知识沉淀、应用开发等支持能力。2、突破研发、生产、管理等基础工业软件，加速已有工业软件云化迁移，形成覆盖工业全流程的微服务资源池。3、深化“平台+5G”“平台+人工智能”“平台+区块链”等技术融合应用能力。，其目标是到2023年，工业企业及设备上云数量比2020年翻一番。
