Quary,Answer
泰州市的名为制造业企业新模式、新业态类项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为工业设计与制造业融合发展类项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为互联网化提升类项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为中小企业加快发展类项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为专精特新企业专利新产品类项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为专精特新企业设备投入项目的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为诊断服务项目（节能专项）的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰州市的名为智改数转贷款贴息（金融支持制造业智改数转专项）的项目,政策包括：《关于组织2023年泰州市工业经济转型升级专项资金项目申报工作的通知》。
泰兴市的名为星级上云的项目,政策包括：《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。
姜堰市的名为两化（深度）融合类示范试点的项目,政策包括：《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。
姜堰市的名为国家绿色工厂、绿色供应链的项目,政策包括：《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。
姜堰市的名为专精特新和“小巨人”企业的项目,政策包括：《关于提升创新驱动能力推动高质量发展的若干政策措施》2020年11月23日。
高港区的名为星级上云的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为国家级、省级制造业单项冠军示范（培育）企业的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为服务型制造示范（培育）企业的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为科技小巨人企业和专精特新产品的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为绿色工厂的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为绿色供应链的企业的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
高港区的名为“两化融合”示范企业的项目,政策包括：关于推进工业经济高质量发展的若干政策意见（试行）实施细则。
海陵区的名为星级上云的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为两化（深度）融合类示范试点的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为智能车间的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为单项冠军示范（培育）企业的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为服务型制造示范（培育）企业的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为科技小巨人企业和专精特新产品的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为绿色工厂的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
海陵区的名为绿色供应链企业的项目,政策包括：泰州市海陵区人民政府部门文件区工业经济发展领导小组办公室关于组织申报2020年度《海陵区关于加快推进工业转型升级高质量发展的扶持奖励办法（试行）》奖励项目的通知(tzhl.gov.cn)。
兴化市的名为技术改造的项目,政策包括：兴化市工业经济、开放型经济奖励实施办法兴政发〔2021〕152号。
兴化市的名为经营指标奖励的项目,政策包括：兴化市工业经济、开放型经济奖励实施办法兴政发〔2021〕152号。
兴化市的名为智改数转的项目,政策包括：兴化市工业经济、开放型经济奖励实施办法兴政发〔2021〕152号。
兴化市的名为绿色发展的项目,政策包括：兴化市工业经济、开放型经济奖励实施办法兴政发〔2021〕152号。市政府关于印发《2022年兴化市企业科技创新积分管理办法》的通知http://www.xinghua.gov.cn/fdzdgknr/zcwj/szfwj/art/2023/art_d4c0051ddc1d4fe7b5e76e57975b81ff.html。
