Quary,Answer
盐城市的支持政策文件有哪些？,单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业星级上云。工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）。市本级工业强市（先进制造业发展）专项资金项目。企业技术改造。智改数转。新招引产业项目。工业新增长点培育。优质企业集群培育。规范认证项目。总部迁入发展。企业兼并重组。企业创新发展。产业链配套协作。企业推广应用新产品。公共服务能力提升。服务型制造。新车型研发销售。免费诊断和轻量级改造。设立贷款贴息补助。标杆企业培育。工业互联网发展。数字产业企业能级提升。节能降耗项目。市级工业园区建设。星级上云。智能工厂、工业互联网平台、工业互联网标杆工厂。“智改数转”项目。制造业数字化典型应用场景及实践案例。星级上云。智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业。信息化改造和应用系统。制造业数字化典型应用场景及实践案例。市级“智改数转“示范企业、工业互联网平台、工业数字化示范场景。工业互联网标识解析。两化融合管理体系贯标2.0。5G融合应用示范项目。标杆（示范）的项目。星级上云。智能制造示范工厂、省级工业互联网标杆工厂、省智能制造示范车间。市智改数转示范企业。省两化融合管理体系贯标。专精特新科技“小巨人”。全国制造业单项冠军企业（产品）。星级上云。工业互联网领域平台。工业互联网标杆工厂、智能工厂。智能车间。两化融合管理贯标示范。星级上云。智能工厂、工业互联网发展示范企业。星级上云。智能车间、智能工厂。工业互联网标杆工厂（工业互联网平台）。两化融合管理体系贯标试点（互联网与工业融合创新示范）。5G示范项目。星级上云。智能工厂、工业互联网标杆工厂（平台）。智能车间。5G+工业互联网”融合应用。星级上云。智能工厂、智能车间。星级上云。
单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业的项目。,"盐城市的支持政策发布时间是2023年1月29日。其政策名称是《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》其项目中,单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业其支持政策的具体内容是分别奖励100万元、100万元、30万元其政策名称是《盐城市人民政府印发关于贯彻落实省政府推动经济运行率先整体好转若干政策措施实施意见的通知》其项目中,单项冠军企业、国家级专精特新“小巨人”、省级专精特新中小企业其支持政策的具体内容是分别奖励100万元、100万元、30万元"
星级上云的项目。,"盐城市的支持政策发布时间是2022年1月30日。其政策名称是关于组织申报2022年度盐城市市本级先进制造业发展专项资金项目的通知其项目中,星级上云其支持政策的具体内容是对首次被评为省五星、四星级上云企业，分别给予50万元、20万元一次性奖励。"
工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）的项目。,"盐城市的支持政策发布时间是2022年1月30日。其政策名称是关于《盐城市规模以上工业企业智能化改造和数字化转型三年行动计划（2022-2024年）》起草情况说明其项目中,工业互联网示范试点类企业（工业互联网重点平台、工业互联网标杆工厂、工业互联网典型应用企业、工业互联网专业服务商等）其支持政策的具体内容是7.对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。"
市本级工业强市（先进制造业发展）专项资金项目的项目。,"盐城市的支持政策发布时间是2023年3月14日。其政策名称是《关于组织2023年度盐城市市本级工业强市（先进制造业发展）专项资金项目入库的通知》其项目中,市本级工业强市（先进制造业发展）专项资金项目其支持政策的具体内容是7.对建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业，给予300万元一次性奖励；对建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业，给予200万元一次性奖励。对评为省级以上制造业数字化典型应用场景及实践案例的企业，给予50万元一次性奖励。"
企业技术改造的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业技术改造其支持政策的具体内容是年度设备投资额500万元以上的企业技术改造项目(安全环保技术改造项目投资额300万元以上)，按实际设备投资额的5%给予奖励；在市企业“争星创优”活动中，被认定为三星、四星、五星和突出贡献奖的企业，分别按实际设备投资额的6%、7%、8%和9%给予奖励。属于重点产业链的项目，奖励额度在以上奖励基础上提高2个百分点。最高不超过500万元。"
智改数转的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,智改数转其支持政策的具体内容是2022年、2023年、2024年分别按照项目年度投资额的12%、11%、10%给予补助，单个项目最高不超过500万元。其政策名称是《盐城市先进制造业发展办法》其项目中,智改数转其支持政策的具体内容是给予20万元一次性奖励"
新招引产业项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新招引产业项目其支持政策的具体内容是各地结合招商引资政策兑现奖励"
工业新增长点培育的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业新增长点培育其支持政策的具体内容是按年度新增应税开票销售10亿元以上、5亿元-10亿元、3亿元-5亿元，分别给予100万元、50万元、30万元奖励"
优质企业集群培育的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是给予300万元一次性奖励其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是给予100万元一次性奖励其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是分别给予500万元、200万元、100万元、50万元一次性奖励其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是每家企业奖励5万元或按照企业当年对地方贡献增量部分50%给予奖补，最高不超过10万元。"
