Quary,Answer
"星级上云项目中,苏州市的支持政策的名称是",《苏州市推进制造业智能化改造、数字化转型措施》
"星级上云项目中,苏州市的支持政策发布的时间是",2021年9月1日
"星级上云项目中,苏州市的支持政策的申报时间和类别是",2021市级打造先进制造业基地专项资金项目申报关于组织2021年度苏州市市级打造先进制造业基地专项资金申报的通知 - 苏州市人民政府 (suzhou.gov.cn)
"星级上云项目中,苏州市的支持政策规定的申报方式是",线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）
"星级上云项目中,苏州市的支持政策规定的申报方式是",线上+线下线上：苏州市财政专项资金申报平台(https://www.szzxzjsb.com)2021年9月3日至2021年10月8日线下：向项目所在地工信部门提供纸质版申报材料，扫描上传申报材料（线上）
"智能工厂、智能车间项目中,苏州市的支持政策发布的时间是",省：2021年8月市：2021年3月
"“5G+工业互联网”项目中,苏州市的支持政策发布的时间是",同资金申报项目
"标识解析二级节点项目中,苏州市的支持政策发布的时间是",同资金申报项目
"市级示范智能车间项目中,苏州市的支持政策的名称是",关于做好2022年市级示范智能车间申报工作的通知
"市级示范智能车间项目中,苏州市的支持政策发布的时间是",2022年6月7日
"市级示范智能车间项目中,苏州市的支持政策的申报时间和类别是",http://gxj.suzhou.gov.cn/szeic/znzz/202206/de0477087dc9444e9d72992cef2b7c62.shtml
"市级示范智能车间项目中,苏州市的支持政策规定的申报方式是",申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。
"市级示范智能车间项目中,苏州市的支持政策规定的申报方式是",申报企业填写申报书，盖章后报所在县级市（区）工信部门。各县级市（区）工信部门于6月24日前，将企业申报书、行文请示、汇总表、审核推荐表（均需盖章）各一式一份报送至市工信局，电子文档同步报送。
"专精特新“小巨人”企业项目中,苏州市的支持政策的名称是",2022年度扬州市中小企业发展专项资金项目申报指南
"专精特新“小巨人”企业项目中,苏州市的支持政策发布的时间是",2022年11月14日
"专精特新“小巨人”企业项目中,苏州市的支持政策的申报时间和类别是",http://www.yangzhou.gov.cn/yzszxxgk/gxj/202211/d78d73940e0547889c1f4d59cc5890cb.shtml
"2022先进制造业基地专项资金项目中,苏州市的支持政策的名称是",同去年
"2022先进制造业基地专项资金项目中,苏州市的支持政策发布的时间是",2022年9月5日
"2022先进制造业基地专项资金项目中,苏州市的支持政策的申报时间和类别是",http://www.suzhou.gov.cn/szsrmzf/bmwj/202209/6395d90028d14a7f939d9d84bbb1eeb9.shtml关于组织2022年苏州市市级打造先进制造业基地专项资金项目申报的通知
"2022先进制造业基地专项资金项目中,苏州市的支持政策规定的申报方式是",线上+线下
"2022先进制造业基地专项资金项目中,苏州市的支持政策规定的申报方式是",线上+线下
"市重点软件企业复评及2023年度入库项目中,苏州市的支持政策的名称是",关于开展苏州市重点软件企业复评及2023年度入库工作的通知
"市重点软件企业复评及2023年度入库项目中,苏州市的支持政策发布的时间是",2023年3月1日
"市“近零碳”工厂（第二批）入库培育项目中,苏州市的支持政策的名称是",2023年度苏州市“近零碳”工厂（第二批）入库培育工作开始
"市“近零碳”工厂（第二批）入库培育项目中,苏州市的支持政策发布的时间是",2023年3月30日
"省级绿色工厂省级绿色工业园区项目中,苏州市的支持政策的名称是",第四批省级绿色工厂暨第一批省级绿色工业园区推荐工作开始
"省级绿色工厂省级绿色工业园区项目中,苏州市的支持政策发布的时间是",2023年4月26日
"工业产品绿色设计示范企业项目中,苏州市的支持政策的名称是",工信部第五批工业产品绿色设计示范企业推荐工作开始
"工业产品绿色设计示范企业项目中,苏州市的支持政策发布的时间是",2023年4月23日
"服务型制造示范项目中,苏州市的支持政策的名称是",关于组织开展2023年度苏州市服务型制造示范遴选工作的通知
"服务型制造示范项目中,苏州市的支持政策发布的时间是",2023年6月7日
"省级中小企业公共服务示范平台认定推荐项目中,苏州市的支持政策的名称是",关于转发省工信厅《关于开展2023年度省级中小企业公共服务示范平台认定推荐工作的通知》的通知
"省级中小企业公共服务示范平台认定推荐项目中,苏州市的支持政策发布的时间是",2023年5月24日
"2023年苏州市级智能工厂申报项目中,苏州市的支持政策发布的时间是",2023年7月25日
"2023年苏州市级智能工厂申报项目中,苏州市的支持政策规定的申报方式是",三、申报方式1. 请申报企业对照《苏州市智能制造典型场景指引》，填写《苏州市智能工厂项目申报书》（附件3，含承诺书），加盖企业有效公章后报所在县级市（区）工信部门。申报企业需对填报材料的真实性、准确性、完整性负责。2. 请各县级市（区）工信部门积极组织企业开展申报，做好材料审核和现场初审工作，对经审核后符合条件的予以推荐上报，并填写《苏州市智能工厂项目汇总表》和《苏州市智能工厂推荐审核情况表》（附件4-5，需加盖推荐单位公章）。3. 市工信局将在企业申报、县级市（区）审核上报的基础上，组织专家评审，择优遴选出一批基础条件好、示范性强的工厂认定为苏州市智能工厂，并依据《关于支持产业创新集群建设的若干政策（试行）》给予一定奖励。4. 请各县级市（区）工信部门收集汇总企业申报材料，于8月18日前，将加盖有效公章的推荐行文、企业申报书、申报汇总表、盖章审核推荐表等纸质材料各一式两份报送至我局智能制造推进处，企业申报书扫描件、汇总表及审核推荐表电子版等材料同步发送至邮箱，过时不再受理。
"2023年苏州市级智能工厂申报项目中,苏州市的支持政策规定的申报方式是",三、申报方式1. 请申报企业对照《苏州市智能制造典型场景指引》，填写《苏州市智能工厂项目申报书》（附件3，含承诺书），加盖企业有效公章后报所在县级市（区）工信部门。申报企业需对填报材料的真实性、准确性、完整性负责。2. 请各县级市（区）工信部门积极组织企业开展申报，做好材料审核和现场初审工作，对经审核后符合条件的予以推荐上报，并填写《苏州市智能工厂项目汇总表》和《苏州市智能工厂推荐审核情况表》（附件4-5，需加盖推荐单位公章）。3. 市工信局将在企业申报、县级市（区）审核上报的基础上，组织专家评审，择优遴选出一批基础条件好、示范性强的工厂认定为苏州市智能工厂，并依据《关于支持产业创新集群建设的若干政策（试行）》给予一定奖励。4. 请各县级市（区）工信部门收集汇总企业申报材料，于8月18日前，将加盖有效公章的推荐行文、企业申报书、申报汇总表、盖章审核推荐表等纸质材料各一式两份报送至我局智能制造推进处，企业申报书扫描件、汇总表及审核推荐表电子版等材料同步发送至邮箱，过时不再受理。
"智能车间、智能工厂项目中,苏州市-太湖新城的支持政策的名称是",关于印发《东太湖度假区（太湖新城）加快企业高质量发展扶持奖励办法（修订）》的通知
"智能车间、智能工厂项目中,苏州市-太湖新城的支持政策发布的时间是",2022年8月24日
"星级上云项目中,苏州市-吴江区的支持政策的名称是",《苏州市吴江区高质量发展政策》发布时间：2021年1月20日
"星级上云项目中,苏州市-吴江区的支持政策发布的时间是",2021年1月20日
"星级上云项目中,苏州市-吴江区的支持政策的申报时间和类别是", 
"星级上云项目中,苏州市-吴江区的支持政策规定的申报方式是",材料上报所在区（镇）初审，并由区（镇）分管领导签字确认并加盖公章2021.02.01-2021.03.20（具体截止时间根据各区/镇通知）
"星级上云项目中,苏州市-吴江区的支持政策规定的申报方式是",材料上报所在区（镇）初审，并由区（镇）分管领导签字确认并加盖公章2021.02.01-2021.03.20（具体截止时间根据各区/镇通知）
"专精特新小巨人、单项冠军项目中,苏州市的支持政策的申报时间和类别是",《苏州市吴江区高质量发展产业扶持政策的若干实施意见》（自2019年12月25日起施行。）
"星级上云项目中,苏州市-相城区的支持政策的名称是",《2022年度苏州市相城区工业经济高质量发展专项资金项目》2022年4月
"星级上云项目中,苏州市-相城区的支持政策发布的时间是",2022年4月1日
"单项冠军、专精特新中小企业项目中,苏州市的支持政策的名称是",《相城区工业经济高质量发展若干扶持政策（试行）》
"单项冠军、专精特新中小企业项目中,苏州市的支持政策发布的时间是",自2019年1月1日起试行
"星级上云项目中,苏州市-高新区的支持政策的名称是",《苏州高新区工业高质量发展扶持政策》政策有效期至：2022年12月31日
"星级上云项目中,苏州市-高新区的支持政策发布的时间是",2020年
"智能工厂、智能车间项目中,苏州市的支持政策的名称是",《苏州高新区关于加快发展智能制造促进高质量发展的若干意见》政策有效期至：2022年12月31日
"智能工厂、智能车间项目中,苏州市的支持政策的申报时间和类别是",①申报2021年苏州高新区工业经济发展专项扶持资金关于组织申报2021年苏州高新区智能制造专项扶持资金的通知_企业服务_苏州高新区管委会（虎丘区人民政府） (snd.gov.cn)②申报2021年苏州高新区工业高质量发展扶持资金关于组织申报2021年苏州高新区工业高质量发展扶持资金的通知_企业服务_苏州高新区管委会（虎丘区人民政府） (snd.gov.cn)
"智能工厂、智能车间项目中,苏州市的支持政策规定的申报方式是",①线下申报主体向项目所在地经济管理部门提出申请，按申报通知要求提供完整的项目申报材料申报截止时间：2021.11.1②线上通过苏州高新区企业服务云平台进行在线申报（http://escloud.snd.gov.cn/home）申报截止时间：2021.10.31
"智能工厂、智能车间项目中,苏州市的支持政策规定的申报方式是",①线下申报主体向项目所在地经济管理部门提出申请，按申报通知要求提供完整的项目申报材料申报截止时间：2021.11.1②线上通过苏州高新区企业服务云平台进行在线申报（http://escloud.snd.gov.cn/home）申报截止时间：2021.10.31
"两化（深度）融合类示范试点项目中,苏州市的支持政策的名称是",《苏州高新区工业高质量发展扶持政策》政策有效期至：2022年12月31日
"小巨人企业（专精特新产品）项目中,苏州市的支持政策的名称是",《关于印发苏州高新区工业高质量发展扶持政策的通知》
"小巨人企业（专精特新产品）项目中,苏州市的支持政策发布的时间是",2020年5月27日
"小巨人企业（专精特新产品）项目中,苏州市的支持政策的申报时间和类别是",自2020年5月27日至2022年12月31日。
"星级上云项目中,苏州市-吴中区的支持政策的名称是",《关于促进吴中区工业经济高质量发展若干政策措施意见》有效期：2021年5月1日至2023年12月31日
"星级上云项目中,苏州市-吴中区的支持政策的申报时间和类别是",2020年度促进吴中区工业经济高质量发展及加快机器人与智能制造产业提升专项资金项目申报http://www.szwz.gov.cn//szwz/bmgg/202007/4b276b61673e4d01b9c8ba77f1538b22.shtml
"星级上云项目中,苏州市-吴中区的支持政策规定的申报方式是",线上+线下线上：苏州市吴中区专项资金管理信息平台（http://221.224.15.177:6060）2020.7.21-2020.8.5线下：一式三份交至项目所在地经信办2020.7.21-2020.8.5
"星级上云项目中,苏州市-吴中区的支持政策规定的申报方式是",线上+线下线上：苏州市吴中区专项资金管理信息平台（http://221.224.15.177:6060）2020.7.21-2020.8.5线下：一式三份交至项目所在地经信办2020.7.21-2020.8.5
"专精特新、小巨人企业、单项冠军项目中,苏州市的支持政策发布的时间是",《区政府印发关于促进吴中区工业经济高质量发展若干政策措施意见的通知》（自2021年5月1日至2023年12月31日。）
"星级上云项目中,苏州市-昆山市的支持政策的名称是",关于推进制造业智能化改造和数字化转型的若干措施的通知有效期至2024年2月25日
"星级上云项目中,苏州市-昆山市的支持政策的申报时间和类别是",昆山市高质量发展（工业经济）专项资金（两批）第一批：2020.03.10第二批：2020.09.18
"星级上云项目中,苏州市-昆山市的支持政策规定的申报方式是",线上+线下线下：企业申报材料（纸质1份，按A4纸规格装订成册）经区镇审核盖章（申报主体所在地区镇人民政府章）线上：http://www.kststis.com ，进入“2020年企业项目申报入口”，有关文本格式和要求在网站查询和下载
"星级上云项目中,苏州市-昆山市的支持政策规定的申报方式是",线上+线下线下：企业申报材料（纸质1份，按A4纸规格装订成册）经区镇审核盖章（申报主体所在地区镇人民政府章）线上：http://www.kststis.com ，进入“2020年企业项目申报入口”，有关文本格式和要求在网站查询和下载
"中小企业专精特新项目中,苏州市的支持政策的名称是",《关于加快推进中小企业"专精特新"发展的实施意见》
"中小企业专精特新项目中,苏州市的支持政策发布的时间是",自2019年2月19日起施行
"星级上云项目中,苏州市-常熟市的支持政策的名称是",《关于推进制造业智能化改造和数字化转型的若干措施 》
"星级上云项目中,苏州市-常熟市的支持政策发布的时间是",2021年2月4日
"星级上云项目中,苏州市-常熟市的支持政策的申报时间和类别是",2020年度提升存量企业竞争力若干政策项目申报2020年度提升存量企业竞争力若干政策项目申报指南 - 常熟市人民政府 (changshu.gov.cn)
"星级上云项目中,苏州市-常熟市的支持政策规定的申报方式是",线下纸质材料，2021.4.8-2021.4月底
"星级上云项目中,苏州市-常熟市的支持政策规定的申报方式是",线下纸质材料，2021.4.8-2021.4月底
"专精特新企业项目中,苏州市的支持政策的名称是",《2021年度提升存量企业竞争力若干政策项目申报指南》
"专精特新企业项目中,苏州市的支持政策发布的时间是",自2022年5月27日起施行
"星级上云项目中,苏州市-张家港市的支持政策发布的时间是",2021年4月16日
"星级上云项目中,苏州市-张家港市的支持政策的申报时间和类别是",2021年张家港市工业和信息化产业转型升级专项资金关于组织申报2021年张家港市工业和信息化产业转型升级专项资金的通知 - 张家港市人民政府 (zjg.gov.cn)
"星级上云项目中,苏州市-张家港市的支持政策规定的申报方式是",线下电子档+纸质版2020.4.9-2020.5.10
"星级上云项目中,苏州市-张家港市的支持政策规定的申报方式是",线下电子档+纸质版2020.4.9-2020.5.10
"智能工厂、智能车间项目中,苏州市的支持政策的名称是",《2020年张家港市工业和信息化产业转型升级专项资金》
"项目中,苏州市的支持政策的名称是",关于印发《张家港保税区产业创新高质量发展扶持政策》的通知
"项目中,苏州市的支持政策发布的时间是",自2022年2月17日至2025年2月17日起施行
"星级上云项目中,苏州市-太仓市的支持政策的名称是",《关于推进制造业智能化改造和数字化转型的若干措施》
"星级上云项目中,苏州市-太仓市的支持政策发布的时间是",2021年1月13日
"专精特新“小巨人”项目中,苏州市的支持政策的名称是",《太仓市工业经济高质量发展若干扶持政策》
"专精特新“小巨人”项目中,苏州市的支持政策发布的时间是",自2021年1月1日至2023年12月31日起施行
"项目中,苏州市的支持政策的名称是",2023年苏州市、苏州工业园区示范智能车间申报开始
"项目中,苏州市的支持政策发布的时间是",2023年6月2日
"项目中,苏州市的支持政策的申报时间和类别是",市级示范智能车间
"项目中,苏州市的支持政策规定的申报方式是",申请流程：请申报企业线下提供市级盖章申请表的纸质件；线上提供汇总表电子版、园区申请表（含承诺书）和市级申请表和申报书（含承诺书）盖章扫描件PDF版。（一）线上申请（截止日期：2023年6月23日）通过苏州工业园区企业发展服务中心官网（http://sme.sipac.gov.cn）——企业用户登录——业务征集平台，选择“2023年苏州市、苏州工业园区示范智能车间申报工作的通知”点击报名进入填报页面下载并上传相关附件。（二）线下提交材料（截止日期：2023年6月23日）纸质材料市级申请表无需胶装，一式一份（附件2）送至园区企业发展服务中心4号窗口（市场大厦2楼）。苏相合作区企业材料请递交至漕湖大厦7楼707室 顾金星处。注：申报2023年苏州市智能车间的车间项目可同时申报区级车间（线上直接上传园区申报表即可）。纸质材料须从园区申报系统打印申报材料索引页，并且胶装在申报材料中最后一页。联系电话：企服热线：67068000企服二处：67068092经发委：66681027苏相合作区 69575373
