Quary,Answer
"智能制造示范工厂项目中,连云港市的支持政策的名称是",《连云港市制造业智能化改造和数字化转型实施方案》（有效期三年）
"智能制造示范工厂项目中,连云港市的支持政策发布的时间是",2022年2月28日
"智能制造示范工厂项目中,连云港市的支持政策的具体内容是",对经认定的国家、省智能制造示范工厂分别给予最高200万元、100万元奖励。
"特色工业互联网平台项目中,连云港市的支持政策的具体内容是",对获国家认定的跨行业跨领域工业互联网平台、省级认定的工业互联网标杆工厂和工业电商平台分别给予最高200万元、80万元和60万元奖励。
"两化融合管理体系贯标项目中,连云港市的支持政策的具体内容是",对通过两化融合管理体系贯标评定的企业，按照评定分级，对5A级、4A级、3A级、2A级、A级分别给予最高60万元、50万元、40万元、20万元、10万元奖励。
"省级工业互联网标杆工厂项目中,连云港市的支持政策的具体内容是",对获省级认定的工业互联网标杆工厂最高80万元奖励。
"“5G+工业互联网”融合应用项目中,连云港市的支持政策的具体内容是",对入选国家、省级、市级示范应用案例的试点示范项目分别给予最高50万元、30万元、10万元奖励。支持企业建设5G全连接工厂，对被认定为5G全连接工厂的企业给予最高100万元奖励。
"标识解析二级节点项目中,连云港市的支持政策的具体内容是",加快推进标识解析二级节点建设和应用推广，对完成与国家顶级节点对接的新建二级节点建设单位，给予最高50万元奖励；对年度新增注册企业数达到年度目标任务的二级节点运营单位给予最高20万元奖励，对年度新增标识注册量、新增标识解析量完成年度目标任务的，给予二级节点运营单位最高60万元奖励。
"专精特新“小巨人”项目中,连云港市的支持政策的名称是",市政府印发关于深化创新型城市建设若干政策的通知
"专精特新“小巨人”项目中,连云港市的支持政策发布的时间是",2021年8月30日
"专精特新“小巨人”项目中,连云港市的支持政策的具体内容是",获得国家级制造业单项冠军企业、专精特新小巨人企业的，分别给予100万元奖励；获得省“科技小巨人”企业的，给予50万元奖励。
"省级、市级智能制造示范车间项目中,连云港市的支持政策的名称是",《关于做好2023年省级、市级智能制造示范车间申报工作的通知》
"省级、市级智能制造示范车间项目中,连云港市的支持政策发布的时间是",2023年6月27日
