Quary,Answer
"国家智能制造试点示范、省级示范智能工厂（车间）项目中,南通市的支持政策的名称是",关于印发支持制造业倍增和服务业繁荣的若干政策意见的通知
"国家智能制造试点示范、省级示范智能工厂（车间）项目中,南通市的支持政策发布的时间是",2022年4月25日
"国家智能制造试点示范、省级示范智能工厂（车间）项目中,南通市的支持政策的具体内容是",推进智能制造提升，对新认定的国家智能制造试点示范、省级示范智能工厂（车间），分别给予20万元、5万元奖励。
"工业互联网软硬件项目项目中,南通市的支持政策的具体内容是",对制造业企业实际投入200万元及以上 （不含税）、并已建成运行的工业互联网软硬件项目，按确认后 开票金额的15%给予补助（实际总投资支付比例不低于85%，软 件部分投入不低于总投资的30%），单个项目最高补助额不超过 300万元。
"工业互联网试点示范项目中,南通市的支持政策的具体内容是",对新获评的国家级新一代信息技术与制造业融合发展试点示范、工业互联网试点示范项目，给予20万元奖励。对新认定的省级以上工业互联网平台、工业互联网标杆工厂、省级以上“数动未来”融合创新中心，给予5万元奖励。对其他“智改数转”、工业电商等国家级、省级对企业的认定类项目，由各区给予奖励，市业务主管部门对各地任务完成情况和绩效进行考核并给予专项奖补。
" 工业互联网平台、工业互联网标杆工厂 项目中,南通市的支持政策的具体内容是",对新认定的省级以上工业互联网平台、工业互联网标杆工厂、省级以上“数动未来”融合创新中心，给予5万元奖励。
"重大装备（首台套）、专精特新项目中,南通市的支持政策的具体内容是",对新认定为国家、省级重大装 备（首台套）的，分别给予50万元、20万元奖励。对新认定的国 家级、省级专精特新“小巨人”企业（含软件企业），分别给予 50万元、20万元奖励。
"市第九批示范智能车间项目中,南通市的支持政策的名称是",《关于组织申报南通市第九批示范智能车间的通知》
"市第九批示范智能车间项目中,南通市的支持政策发布的时间是",2023年3月28日
"市第九批示范智能车间项目中,南通市的支持政策的具体内容是",（海门区奖励20万）一、请各地工信部门按照企业自愿申报的原则，积极组织辖区企业对照示范智能车间申报条件（见附件1），填报示范智能车间申请表（见附件2）。原则上一家企业只能申报一个车间，已获得三个及以上市级示范智能车间的企业不得再次申报。申报企业须对填报材料的真实性、准确性、完整性负责，并按要求出具示范智能车间申报信用承诺书（见附件3），一经发现申报材料有弄虚作假、虚报虚构事实等情况，取消申报主体3年内申报省、市级示范智能车间资格，并提请信用主管部门将其失信行为记入信用档案。企业须提供能够突出反映企业智能车间建设成效的视频资料或电子照片。其中，视频资料的清晰度不低于1080P，时长5分钟左右，并附视频说明性旁白。电子照片的像素不低于800万，张数不少于5张，并附照片说明性文字。二、请各地工信部门严格把关，做好本地申报车间的材料初审、现场核查工作，对经审核符合条件的车间予以推荐上报，并填写示范智能车间审核情况表（见附件4）、示范智能车间申报汇总表（见附件5）。三、市工信局将在各地推荐上报、材料初审、专家现场核查、信用审查的基础上，遴选出一批智能制造基础好、行业示范带动作用强的车间作为市级示范智能车间，并优先推荐申报国家、省、市工业转型升级相关项目和省级示范智能车间。四、请各地工信部门于4月21日前将推荐文件、审核情况表、汇总表以及示范智能车间申请表、承诺书、企业营业执照复印件等相关证明材料纸质版一式一份报送至市工信局投资与技术改造处，并将电子文档发送至邮箱tzc.gxj@nantong.gov.cn。
