Quary,Answer
江苏省的支持政策文件有哪些？,高端化改造升级智能制造示范工厂。工业互联网标杆工厂。“5G+工业互联网”融合应用。智能制造领军服务机构。工业互联网服务资源池。省级智能制造示范车间。专项资金入库。“千企升级”企业入库培育和创新型中小企业评价。2023年度省级专精特新中小企业申报认定和2020年度省级专精特新企业复核。5G工厂。国家服务型制造示范。省级绿色工厂省级绿色工业园区。省重点领域首版次软件产品。省级中小企业公共服务示范平台。新一代信息技术典型产品、应用和服务案例遴选。双跨平台。“双化协同”服务资源池单位。
高端化改造升级的项目。,江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过4000万元。首次拨付补助资金总额的50%，通过验收审核后，拨付剩余资金其具体内容是一、申报条件（1）项目实施地在江苏省域内，符合重点方向要求，研发类项目不予支持。（2）重大技术改造项目总投入不低于1亿元，产业基础再造项目总投入不低于5000万元。项目总投入不含税额，包括设备、工具、器具等固定资产投资（不含土建投资和铺底流动资金），以及与项目相关的软件系统集成、检验检测、专利等其他投入。（3）项目备案（核准）、环评、能评等手续完备（无需相关手续的须由项目推荐单位作出说明）。（4）项目已开工建设（须由项目所在地工信部门出具开工证明）但尚未竣工。（5）优先支持列入省重大工业项目清单的项目。二、支持数量不超过30个
智能制造示范工厂的项目。,江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过2000万元。其具体内容是一、申报条件①项目的申报主体须为省级（含）以上智能制造示范工厂。②项目备案（核准）、环评、能评等手续完备（无需相关手续的须由项目推荐单位作出说明）。③项目实施周期不超过3年，须在2021年1月1日（含）至2022年6月30日（含）期间完工，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。④项目总投入不低于3000万元。项目总投入不含税额，包括智能化设备、工具、器具等固定资产投资（不含土建投资和铺底流动资金），以及与项目相关的工业软件、云资源及网络费用、调试安装费用、咨询、设计、检测、评价等投入。其中，软件、系统集成、公私有云等投入不低于300万元。二、申报主体符合条件的规模以上工业企业三、支持数量不超过15个
工业互联网标杆工厂的项目。,江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是一、申报条件①项目的申报主体须为2018年以来省级（含）以上工业互联网标杆工厂，通过国家两化融合管理体系贯标（A级（含）以上等级），且在省两化融合贯标联盟完成贯标备案审核。②项目备案(核准）、环评、能评等手续完备（无需相关手续的须由项目推荐单位做出说明）。③项目在2021年1月1日（含）至2022年6月30日（含）期间完工，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。④项目总投入不低于3000万元。项目总投入不含税额，包括设备、工具、器具等固定资产投资（不含土建投资和铺底流动资金），以及与项目相关的工业软件、云资源及网络费用、调试安装费用、咨询、设计、检测、评价等投入。其中，软件、系统集成、公私有云等投入不低于300万元。⑤按照《江苏省工业互联网标杆工厂建设指南》，在制造系统能力、企业标杆能力、业态模式创新等方面，至少有3项（含）细分指标比认定时提升（须提供第三方测试报告）。二、申报主体符合条件的规模以上工业企业三、支持数量不超过10个
“5G+工业互联网”融合应用的项目。,江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是（1）支持条件①项目实施区域内5G网络全面覆盖，搭建边缘计算系统（MEC），应用设备全部联网，其中，基于5G网络连接的设备无线联网率（5G方式联网设备/所有无线方式联网设备）不低于50%。②将5G技术集成应用于生产各环节中，应用工信部发布的场景数量不少于8个，应用标识解析开展数据连接，推动数据/信息的查找和追溯。③项目备案（核准）、环评、能评等手续完备（无需相关手续的须由项目推荐单位作出说明）。④项目在2021年1月1日（含）至2022年6月30日（含）期间完工，并在项目申报截止日期前由项目推荐单位完成验收工作（须由项目推荐单位出具验收意见）。⑤项目总投入不低于2000万元。项目总投入不含税额，包括利用5G技术完成智能化改造的设备、信息化硬件（工具、器具），以及与项目相关的工业软件、云资源及网络费用、调试安装费用、咨询、设计、检测、评价等投入。其中，软件、系统集成、公私有云等投入不低于300万元。（2）申报主体符合条件的规模以上工业企业（3）支持数量不超过10个
智能制造领军服务机构的项目。,江苏省的支持政策发布的时间是2022年6月28日。其政策名称是《江苏省智能制造领军服务机构遴选培育实施方案（试行）》关于印发《江苏省智能制造领军服务机构遴选培育实施方案（试行）》的通知.pdf附件1-江苏省智能制造领军服务机构申报书0720.doc关于开展2022年江苏省智能制造领军服务机构遴选工作的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是（一）在江苏省域内注册、具有独立法人资格且正常经营一年以上（截至2021年12月31日）。（二）2021年主营业务收入不少于3000万元，具有健全的财务管理机构和制度。（三）诚信守法，近三年内未发生重大及以上安全、环保、质量事故，无严重失信行为。（四）具有较强的综合集成服务能力和完善的服务体系，在申报行业具有良好的品牌影响力和资源整合力，已经形成3个及以上可复制、可推广、示范性强的场景案例。（五）拥有自主核心技术，其中智能制造系统集成技术相关的授权专利不少于6项（发明专利不少于1项）或与智能制造相关的软件著作权不少于10项，且近三年内无知识产权侵权行为。（六）符合国家智能制造系统解决方案供应商联盟发布的《智能制造系统解决方案供应商规范条件》规定条件的，优先遴选推荐。
工业互联网服务资源池的项目。,江苏省的支持政策发布的时间是2021年7月30日。其政策名称是关于充实和加强省工业互联网服务资源池建设工作的通知关于充实和加强省工业互联网服务资源池建设工作的通知.pdf附件1：江苏省工业互联网服务资源池入池申请和分类分级评估工作说明（试行）.docx，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是1在江苏省工业互联网示范企业公共服务平台（www.dxplat.com）填报申报信息，并按照《江苏省工业互联网服务资源池入池申请和分类分级评估工作说明（试行）》（附件1）（以下简称：评估说明）相关要求，如实在平台上传项目申报电子版材料（附件2）2江苏省工业互联网服务资源池分类分级评估工作采用线上评估的方式，依托江苏省工业互联网示范企业公共服务平台开展。3资源池现有单位可在本文件发出后的1年内根据评估说明的相关要求申请评级，1年内未通过评估的池内单位将予以除名；目前未纳入江苏省工业互联网服务资源池单位的可根据评估说明进行评级申请，通过评估后将纳入江苏省工业互联网服务资源池并进行分级管理。4已认定的省重点工业互联网平台和省工业电子商务重点培育平台的服务商可根据评估说明要求，仅需线上填报信息，并上传申请表，以及省重点工业互联网平台和省工业电子商务重点培育平台的认定文件，在满足申报基本条件的情况下可直接评估为三星级综合（特色）工业互联网平台服务商。如申请更高星级，需根据评估说明要求准备详细材料并在线上进行提交。5分类分级评估每半年度组织开展1次，定级后最早可在下一年度同一批次申请升级评估。每次定级有效期3年，到期前服务商应进行复评，超期未复评的将除名，从而建立起资源池的循环滚动机制。6请各地工信局根据评估说明，做好本地服务商分类分级的组织、发动工作，按规定的时间节点做好申报材料的准备、录入、审核、报送等工作
省级智能制造示范车间的项目。,江苏省的支持政策发布的时间是2023年6月28日。其政策名称是关于做好2023年省级智能制造示范车间申报工作的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是一、申报智能制造示范车间的企业须符合以下基本条件:1.企业是在江苏省境内注册、具有独立法人资格且正常经营一年以上(截至2022年12月31日)的制造业企业。2.企业具有健全的财务管理机构和制度，诚信守法，近三年未发生重大及以上安全、环保、质量事故，无严重失信行为。3.企业申报的车间在2023年5月31日前已建成并正常投产使用。二、申报方式请各设区市工信部门于7月21日前将请示文件（一式两份）、申报汇总表、审核情况表、智能制造示范车间申请表、企业营业执照（复印件）、真实性承诺书报送至省工业和信息化厅投资与技术改造处，并将电子文档发送至邮箱tzc1904@163.com。联系人：投资与技术改造处联系方式：025-69652786/69652864注：原则上一家企业只能申报一个车间，已获得两个及以上省级智能制造示范车间（省级示范智能车间）的企业不得再次申报。
专项资金入库的项目。,江苏省的支持政策发布的时间是2022年10月24日。其政策名称是关于组织2023年度江苏省工业和信息产业转型升级专项资金项目申报入库的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是（一）在江苏省域内注册，具有独立的法人资格且正常经营1年以上（截至2022年6月30日）。其中，“i创杯”大赛获奖、工业互联网标识解析等前瞻类以及转移至苏北的项目申报主体可不受经营年限限制。（二）具有健全的财务管理机构和制度。（三）诚信守法，近三年未发生重大（含）以上安全、环保、质量事故（事件），无严重失信行为。（四）同一申报单位原则上只能申报一个项目，已获得江苏省工业和信息产业转型升级专项资金支持但尚未完成验收的单位，本次不得再申报项目（省级以上授牌认定奖励、省委省政府部署的重大展会、重大活动项目除外）。（五）同一项目获得过国家和省级财政资金支持的，不再予以支持。（六）申报项目的相关发票不得重复使用。（七）《项目指南》明确的具体申报条件。
“千企升级”企业入库培育和创新型中小企业评价的项目。,江苏省的支持政策发布的时间是2022年7月26日。其政策名称是关于组织开展2022年度“千企升级”企业入库培育和创新型中小企业评价工作的通知，其项目将补申请是按不超过项目总投入的10%予以补助，单个项目支持额度最高不超过1000万元。其具体内容是（一）新增企业申报入库。按自愿申报原则，新增企业在平台上按要求进行注册申报入库。各地结合实际，参考《江苏省“千企升级”三年行动计划（2020-2022年）》的“企业分类入库标准条件”和《工信部优质中小企业梯度培育管理暂行办法》的“创新型中小企业评价标准”，围绕先进制造业集群和产业链关键核心环节，聚焦工业“六基”领域（核心基础零部件、核心基础元器件、关键软件、先进基础工艺、关键基础材料、产业技术基础），组织推荐更多拥有核心技术的成长性好、专业化水平高、创新能力强、产品服务特色化明显的企业申报入库。（二）在库企业信息更新。往年已入库的培育企业，须在平台上按要求进行年度数据更新，已获得省级以上专精特新小巨人认定的企业也须同步进行信息更新，各地工信部门做好督促指导工作。
